Date,Day of the Week,Season,Week Number
01/01/2015,Thursday,Winter,1
02/01/2015,Friday,Winter,1
03/01/2015,Saturday,Winter,1
04/01/2015,Sunday,Winter,1
05/01/2015,Monday,Winter,2
06/01/2015,Tuesday,Winter,2
07/01/2015,Wednesday,Winter,2
08/01/2015,Thursday,Winter,2
09/01/2015,Friday,Winter,2
10/01/2015,Saturday,Winter,2
11/01/2015,Sunday,Winter,2
12/01/2015,Monday,Winter,3
13/01/2015,Tuesday,Winter,3
14/01/2015,Wednesday,Winter,3
15/01/2015,Thursday,Winter,3
16/01/2015,Friday,Winter,3
17/01/2015,Saturday,Winter,3
18/01/2015,Sunday,Winter,3
19/01/2015,Monday,Winter,4
20/01/2015,Tuesday,Winter,4
21/01/2015,Wednesday,Winter,4
22/01/2015,Thursday,Winter,4
23/01/2015,Friday,Winter,4
24/01/2015,Saturday,Winter,4
25/01/2015,Sunday,Winter,4
26/01/2015,Monday,Winter,5
27/01/2015,Tuesday,Winter,5
28/01/2015,Wednesday,Winter,5
29/01/2015,Thursday,Winter,5
30/01/2015,Friday,Winter,5
31/01/2015,Saturday,Winter,5
01/02/2015,Sunday,Winter,5
02/02/2015,Monday,Winter,6
03/02/2015,Tuesday,Winter,6
04/02/2015,Wednesday,Winter,6
05/02/2015,Thursday,Winter,6
06/02/2015,Friday,Winter,6
07/02/2015,Saturday,Winter,6
08/02/2015,Sunday,Winter,6
09/02/2015,Monday,Winter,7
10/02/2015,Tuesday,Winter,7
11/02/2015,Wednesday,Winter,7
12/02/2015,Thursday,Winter,7
13/02/2015,Friday,Winter,7
14/02/2015,Saturday,Winter,7
15/02/2015,Sunday,Winter,7
16/02/2015,Monday,Winter,8
17/02/2015,Tuesday,Winter,8
18/02/2015,Wednesday,Winter,8
19/02/2015,Thursday,Winter,8
20/02/2015,Friday,Winter,8
21/02/2015,Saturday,Winter,8
22/02/2015,Sunday,Winter,8
23/02/2015,Monday,Winter,9
24/02/2015,Tuesday,Winter,9
25/02/2015,Wednesday,Winter,9
26/02/2015,Thursday,Winter,9
27/02/2015,Friday,Winter,9
28/02/2015,Saturday,Winter,9
01/03/2015,Sunday,Winter,9
02/03/2015,Monday,Winter,10
03/03/2015,Tuesday,Winter,10
04/03/2015,Wednesday,Winter,10
05/03/2015,Thursday,Winter,10
06/03/2015,Friday,Winter,10
07/03/2015,Saturday,Winter,10
08/03/2015,Sunday,Winter,10
09/03/2015,Monday,Winter,11
10/03/2015,Tuesday,Winter,11
