Date,Time,ABSOLUTE LEVEL,WATER LEVEL
26/11/2016,00:00:00,58.29,36.19
27/11/2016,00:00:00,58.28,36.20
28/11/2016,00:00:00,58.28,36.20
29/11/2016,00:00:00,58.28,36.20
30/11/2016,00:00:00,58.27,36.21
01/12/2016,00:00:00,58.27,36.21
02/12/2016,00:00:00,58.28,36.20
03/12/2016,00:00:00,58.30,36.18
04/12/2016,00:00:00,58.31,36.17
05/12/2016,00:00:00,58.33,36.15
06/12/2016,00:00:00,58.35,36.13
07/12/2016,00:00:00,58.37,36.10
08/12/2016,00:00:00,58.39,36.09
09/12/2016,00:00:00,58.40,36.08
10/12/2016,00:00:00,58.43,36.04
11/12/2016,00:00:00,58.45,36.03
12/12/2016,00:00:00,58.47,36.01
13/12/2016,00:00:00,58.48,36.00
14/12/2016,00:00:00,58.47,36.01
15/12/2016,00:00:00,58.46,36.02
16/12/2016,00:00:00,58.48,36.00
17/12/2016,00:00:00,58.47,36.01
18/12/2016,00:00:00,58.47,36.01
19/12/2016,00:00:00,58.48,36.00
20/12/2016,00:00:00,58.48,36.00
21/12/2016,00:00:00,58.49,35.99
22/12/2016,00:00:00,58.49,35.99
23/12/2016,00:00:00,58.49,35.99
24/12/2016,00:00:00,58.49,35.99
25/12/2016,00:00:00,58.51,35.97
26/12/2016,00:00:00,58.52,35.95
27/12/2016,00:00:00,58.54,35.94
28/12/2016,00:00:00,58.55,35.93
29/12/2016,00:00:00,58.60,35.88
30/12/2016,00:00:00,58.63,35.85
31/12/2016,00:00:00,58.62,35.85
01/01/2017,00:00:00,58.67,35.81
02/01/2017,00:00:00,58.72,35.76
03/01/2017,00:00:00,58.76,35.72
04/01/2017,00:00:00,58.80,35.68
05/01/2017,00:00:00,58.84,35.64
06/01/2017,00:00:00,58.88,35.60
07/01/2017,00:00:00,58.91,35.57
08/01/2017,00:00:00,58.91,35.57
09/01/2017,00:00:00,58.95,35.53
10/01/2017,00:00:00,58.99,35.49
11/01/2017,00:00:00,59.03,35.45
12/01/2017,00:00:00,59.04,35.44
13/01/2017,00:00:00,59.10,35.38
14/01/2017,00:00:00,59.17,35.31
15/01/2017,00:00:00,59.23,35.25
16/01/2017,00:00:00,59.25,35.22
17/01/2017,00:00:00,59.30,35.18
18/01/2017,00:00:00,59.33,35.15
19/01/2017,00:00:00,59.35,35.13
20/01/2017,00:00:00,59.37,35.11
21/01/2017,00:00:00,59.39,35.09
22/01/2017,00:00:00,59.42,35.06
23/01/2017,00:00:00,59.44,35.04
24/01/2017,00:00:00,59.48,35.00
25/01/2017,00:00:00,59.52,34.96
26/01/2017,00:00:00,59.52,34.96
27/01/2017,00:00:00,59.52,34.95
28/01/2017,00:00:00,59.54,34.94
29/01/2017,00:00:00,59.58,34.89
30/01/2017,00:00:00,59.61,34.87
31/01/2017,00:00:00,59.63,34.85
01/02/2017,00:00:00,59.64,34.84
02/02/2017,00:00:00,59.65,34.83
03/02/2017,00:00:00,59.67,34.81
04/02/2017,00:00:00,59.69,34.78
05/02/2017,00:00:00,59.71,34.77
06/02/2017,00:00:00,59.73,34.75
07/02/2017,00:00:00,59.75,34.73
08/02/2017,00:00:00,59.76,34.72
09/02/2017,00:00:00,59.76,34.72
10/02/2017,00:00:00,59.75,34.73
11/02/2017,00:00:00,59.76,34.72
12/02/2017,00:00:00,59.76,34.72
13/02/2017,00:00:00,59.76,34.72
14/02/2017,00:00:00,59.79,34.69
15/02/2017,00:00:00,59.82,34.66
16/02/2017,00:00:00,59.84,34.64
17/02/2017,00:00:00,59.85,34.63
18/02/2017,00:00:00,59.88,34.60
19/02/2017,00:00:00,59.90,34.58
20/02/2017,00:00:00,59.91,34.57
21/02/2017,00:00:00,59.93,34.55
22/02/2017,00:00:00,59.96,34.52
23/02/2017,00:00:00,59.94,34.54
24/02/2017,00:00:00,59.95,34.53
25/02/2017,00:00:00,59.95,34.52
26/02/2017,00:00:00,59.96,34.52
27/02/2017,00:00:00,59.97,34.51
28/02/2017,00:00:00,59.98,34.50
01/03/2017,00:00:00,59.98,34.50
02/03/2017,00:00:00,59.98,34.50
03/03/2017,00:00:00,59.98,34.50
04/03/2017,00:00:00,59.97,34.51
05/03/2017,00:00:00,59.97,34.51
06/03/2017,00:00:00,59.97,34.51
07/03/2017,00:00:00,59.98,34.50
08/03/2017,00:00:00,60.00,34.48
09/03/2017,00:00:00,60.01,34.47
