Date,Time,Conductivity,Water Temperature,Water Depth,Water Level
02/07/2015,00:00:00,663.7,18.8,32.02,294.98
03/07/2015,00:00:00,663.7,18.8,32.02,294.98
04/07/2015,00:00:00,664,18.8,32.04,294.96
05/07/2015,00:00:00,664.8,18.8,32.05,294.95
06/07/2015,00:00:00,665.4,18.8,32.04,294.96
07/07/2015,00:00:00,665.7,18.8,32.02,294.98
08/07/2015,00:00:00,666.6,18.8,31.98,295.02
09/07/2015,00:00:00,667.2,18.8,31.93,295.07
10/07/2015,00:00:00,667.8,18.8,31.9,295.1
11/07/2015,00:00:00,668.3,18.8,31.9,295.1
12/07/2015,00:00:00,668.9,18.8,31.87,295.13
13/07/2015,00:00:00,669.3,18.8,31.73,295.27
14/07/2015,00:00:00,669.5,18.8,31.57,295.43
15/07/2015,00:00:00,669.6,18.8,31.43,295.57
16/07/2015,00:00:00,669.7,18.8,31.33,295.67
17/07/2015,00:00:00,670.1,18.8,31.23,295.77
18/07/2015,00:00:00,670.6,18.8,31.14,295.86
19/07/2015,00:00:00,671.2,18.8,31.05,295.95
20/07/2015,00:00:00,671.8,18.8,30.96,296.04
21/07/2015,00:00:00,672.4,18.8,30.89,296.11
22/07/2015,00:00:00,673.1,18.8,30.84,296.16
23/07/2015,00:00:00,673.7,18.8,30.78,296.22
24/07/2015,00:00:00,673.9,18.8,30.72,296.28
25/07/2015,00:00:00,674.1,18.8,30.67,296.33
26/07/2015,00:00:00,673.9,18.8,30.62,296.38
27/07/2015,00:00:00,674.6,18.8,30.56,296.44
28/07/2015,00:00:00,674.8,18.8,30.49,296.51
29/07/2015,00:00:00,675.1,18.8,30.44,296.56
30/07/2015,00:00:00,675.4,18.8,30.4,296.6
31/07/2015,00:00:00,675.3,18.8,30.36,296.64
01/08/2015,00:00:00,674.8,18.8,30.31,296.69
02/08/2015,00:00:00,674.9,18.8,30.29,296.71
03/08/2015,00:00:00,675.2,18.8,30.29,296.71
04/08/2015,00:00:00,675.7,18.8,30.25,296.75
05/08/2015,00:00:00,675.9,18.8,30.2,296.8
06/08/2015,00:00:00,677.1,18.8,30.16,296.84
07/08/2015,00:00:00,678,18.8,30.11,296.89
08/08/2015,00:00:00,678.1,18.8,30.09,296.91
09/08/2015,00:00:00,677.8,18.8,30.09,296.91
10/08/2015,00:00:00,677.8,18.8,30.07,296.93
11/08/2015,00:00:00,677.8,18.8,30.05,296.95
12/08/2015,00:00:00,677.5,18.8,30.02,296.98
13/08/2015,00:00:00,677.6,18.8,30,297
14/08/2015,00:00:00,677.6,18.8,29.96,297.04
15/08/2015,00:00:00,677.7,18.8,29.93,297.07
16/08/2015,00:00:00,677.8,18.8,29.9,297.1
17/08/2015,00:00:00,677.7,18.8,29.91,297.09
18/08/2015,00:00:00,677.9,18.8,30.06,296.94
19/08/2015,00:00:00,677.8,18.8,30.14,296.86
20/08/2015,00:00:00,677.8,18.8,30.17,296.83
21/08/2015,00:00:00,678.3,18.8,30.21,296.79
22/08/2015,00:00:00,678.6,18.8,30.21,296.79
23/08/2015,00:00:00,678.8,18.8,30.19,296.81
24/08/2015,00:00:00,679,18.8,30.19,296.81
25/08/2015,00:00:00,679.2,18.8,30.19,296.81
26/08/2015,00:00:00,679.4,18.8,30.19,296.81
27/08/2015,00:00:00,679.4,18.8,30.18,296.82
28/08/2015,00:00:00,679.3,18.8,30.18,296.82
29/08/2015,00:00:00,679.1,18.8,30.19,296.81
30/08/2015,00:00:00,679.1,18.8,30.2,296.8
31/08/2015,00:00:00,678.7,18.8,30.18,296.82
01/09/2015,00:00:00,678.6,18.8,30.17,296.83
02/09/2015,00:00:00,678.6,18.8,30.15,296.85
03/09/2015,00:00:00,678.1,18.8,30.13,296.87
04/09/2015,00:00:00,678.1,18.8,30.12,296.88
05/09/2015,00:00:00,677.5,18.8,30.11,296.89
06/09/2015,00:00:00,677.4,18.8,30.14,296.86
07/09/2015,00:00:00,676.4,18.8,30.12,296.88
08/09/2015,00:00:00,676.1,18.8,30.03,296.97
09/09/2015,00:00:00,676.2,18.8,29.96,297.04
10/09/2015,00:00:00,676.7,18.8,29.92,297.08
11/09/2015,00:00:00,675.8,18.8,29.88,297.12
12/09/2015,00:00:00,674.2,18.8,29.86,297.14
13/09/2015,00:00:00,673.5,18.8,29.83,297.17
14/09/2015,00:00:00,672.8,18.8,29.79,297.21
15/09/2015,00:00:00,672.2,18.8,29.76,297.24
16/09/2015,00:00:00,671.7,18.8,29.73,297.27
17/09/2015,00:00:00,673.9,18.8,29.71,297.29
18/09/2015,00:00:00,675.7,18.8,29.79,297.21
19/09/2015,00:00:00,675.7,18.8,29.9,297.1
20/09/2015,00:00:00,676,18.8,30.02,296.98
21/09/2015,00:00:00,676,18.8,30.12,296.89
22/09/2015,00:00:00,676.1,18.8,30.18,296.82
23/09/2015,00:00:00,676.3,18.8,30.24,296.76
24/09/2015,00:00:00,676.1,18.8,30.36,296.64
25/09/2015,00:00:00,676.3,18.8,30.51,296.49
26/09/2015,00:00:00,676.4,18.8,30.67,296.34
27/09/2015,00:00:00,676.8,18.8,30.8,296.2
28/09/2015,00:00:00,677,18.8,30.95,296.05
29/09/2015,00:00:00,677.3,18.8,31.09,295.92
30/09/2015,00:00:00,676.9,18.8,31.2,295.8
01/10/2015,00:00:00,677.1,18.8,31.31,295.69
02/10/2015,00:00:00,677,18.8,31.41,295.59
03/10/2015,00:00:00,676.6,18.8,31.52,295.48
04/10/2015,00:00:00,677.3,18.8,31.61,295.39
05/10/2015,00:00:00,677.6,18.8,31.68,295.32
06/10/2015,00:00:00,677.8,18.8,31.71,295.29
07/10/2015,00:00:00,677.6,18.8,31.72,295.28
08/10/2015,00:00:00,677.7,18.8,31.77,295.23
09/10/2015,00:00:00,677.5,18.8,31.83,295.17
10/10/2015,00:00:00,678.1,18.8,31.92,295.08
11/10/2015,00:00:00,677.8,18.8,31.98,295.02
12/10/2015,00:00:00,678,18.8,32,295
13/10/2015,00:00:00,678.2,18.8,32.04,294.96
14/10/2015,00:00:00,678,18.8,32.11,294.89
15/10/2015,00:00:00,678.5,18.8,32.16,294.84
16/10/2015,00:00:00,678.7,18.8,32.2,294.8
17/10/2015,00:00:00,678.5,18.8,32.24,294.76
18/10/2015,00:00:00,678.9,18.8,32.28,294.72
19/10/2015,00:00:00,678.5,18.8,32.31,294.69
20/10/2015,00:00:00,678.8,18.8,32.33,294.67
21/10/2015,00:00:00,678.6,18.8,32.33,294.67
22/10/2015,00:00:00,678.4,18.8,32.35,294.65
23/10/2015,00:00:00,678.4,18.8,32.35,294.65
24/10/2015,00:00:00,678.3,18.8,32.35,294.65
25/10/2015,00:00:00,678.3,18.8,32.42,294.58
26/10/2015,00:00:00,678.3,18.8,32.53,294.48
27/10/2015,00:00:00,678.3,18.8,32.71,294.29
28/10/2015,00:00:00,677.9,18.8,32.95,294.05
29/10/2015,00:00:00,677.7,18.8,33.16,293.84
30/10/2015,00:00:00,677.7,18.8,33.29,293.71
31/10/2015,00:00:00,677.6,18.8,33.38,293.62
