Date,Time,Conductivity,Water Temperature,Water Depth,Water Level
20/11/2015,23:00:00,1594.9,15,1.73,5.01
21/11/2015,23:00:00,1590.8,15,1.65,5.07
22/11/2015,23:00:00,1515.5,15,1.64,5.08
23/11/2015,23:00:00,1547.4,15.1,1.7,5.02
24/11/2015,23:00:00,1533.4,15,1.71,5.01
25/11/2015,23:00:00,1544.8,15,1.6,5.12
26/11/2015,23:00:00,1504.7,15,1.53,5.19
27/11/2015,23:00:00,1523.6,15,1.57,5.15
28/11/2015,23:00:00,1481.4,15,1.61,5.11
29/11/2015,23:00:00,1478.3,15,1.67,5.05
30/11/2015,23:00:00,1594.7,15,1.72,5
01/12/2015,23:00:00,1607.4,15,1.74,4.98
02/12/2015,23:00:00,1526.4,15,1.74,4.98
03/12/2015,23:00:00,1564.9,15,1.78,4.94
04/12/2015,23:00:00,1667.3,15.1,1.79,4.93
05/12/2015,23:00:00,1667.3,15.2,1.77,4.95
06/12/2015,23:00:00,1544.4,15,1.76,4.96
07/12/2015,23:00:00,1556.5,15,1.73,4.99
08/12/2015,23:00:00,1538.3,15,1.69,5.03
09/12/2015,23:00:00,1543.7,15.2,1.66,5.06
10/12/2015,23:00:00,1543.9,15.2,1.66,5.06
11/12/2015,23:00:00,1551.5,15,1.6,5.12
12/12/2015,23:00:00,1545.5,14.9,1.61,5.11
13/12/2015,23:00:00,1557.3,14.9,1.65,5.07
14/12/2015,23:00:00,1596.9,14.9,1.65,5.07
15/12/2015,23:00:00,1623.5,14.9,1.67,5.05
16/12/2015,23:00:00,1558.3,14.9,1.67,5.05
17/12/2015,23:00:00,1558.3,14.8,1.66,5.06
18/12/2015,23:00:00,1599.7,14.8,1.71,5.01
19/12/2015,23:00:00,1616.6,14.8,1.79,4.93
20/12/2015,23:00:00,1674.4,14.8,1.9,4.82
21/12/2015,23:00:00,1675.9,14.9,1.97,4.75
22/12/2015,23:00:00,1694,14.9,2,4.72
23/12/2015,23:00:00,1649.3,14.9,2.02,4.7
24/12/2015,23:00:00,1670.1,14.8,2.03,4.69
25/12/2015,23:00:00,1677.2,14.8,2.03,4.69
26/12/2015,23:00:00,1710,14.8,2.05,4.67
27/12/2015,23:00:00,1659,14.9,2.05,4.67
28/12/2015,23:00:00,1619.8,14.9,2.03,4.69
29/12/2015,23:00:00,1632.4,14.9,1.98,4.74
30/12/2015,23:00:00,1680.8,14.7,1.97,4.75
31/12/2015,23:00:00,1597.3,14.7,2.01,4.71
01/01/2016,23:00:00,1573.1,14.4,2.04,4.68
02/01/2016,23:00:00,1602.3,14.3,2,4.72
03/01/2016,23:00:00,1585.4,14.2,1.95,4.77
04/01/2016,23:00:00,1601.1,14.3,1.93,4.79
05/01/2016,23:00:00,1658.1,14.4,2.02,4.7
06/01/2016,23:00:00,1685.6,14.4,2.12,4.6
07/01/2016,23:00:00,1654.9,14.3,2.15,4.57
08/01/2016,23:00:00,1681.3,14.3,2.32,4.4
09/01/2016,23:00:00,1682.5,14.3,2.33,4.39
10/01/2016,23:00:00,1639.8,14.4,2.49,4.23
11/01/2016,23:00:00,1645.9,14.3,2.53,4.19
12/01/2016,23:00:00,1661,14.3,2.52,4.2
13/01/2016,23:00:00,1681.7,14.3,2.54,4.18
14/01/2016,23:00:00,1686.2,14.3,2.6,4.12
15/01/2016,23:00:00,1618.2,14.3,2.6,4.12
