Date,Time,Conductivity,Water Temperature,Water Depth,Water Level
08/08/2015,00:00:00,124.4,13.4,16.13,35.87
09/08/2015,00:00:00,124.4,13.4,16.13,35.87
10/08/2015,00:00:00,124.5,13.4,16.12,35.88
11/08/2015,00:00:00,124.4,13.4,16.11,35.89
12/08/2015,00:00:00,121.7,13.4,16.06,35.94
13/08/2015,00:00:00,119.2,13.4,16.03,35.97
14/08/2015,00:00:00,115.9,13.4,15.95,36.05
15/08/2015,00:00:00,115.5,13.4,15.92,36.08
16/08/2015,00:00:00,121.1,13.4,16.01,35.99
17/08/2015,00:00:00,123.3,13.4,16.06,35.94
18/08/2015,00:00:00,126.5,13.4,16.07,35.92
19/08/2015,00:00:00,131.6,13.4,16.02,35.98
20/08/2015,00:00:00,136.1,13.4,15.98,36.02
21/08/2015,00:00:00,138.3,13.4,15.96,36.04
22/08/2015,00:00:00,139.3,13.3,15.93,36.07
23/08/2015,00:00:00,139.6,13.3,15.87,36.13
24/08/2015,00:00:00,139.6,13.3,15.84,36.16
25/08/2015,00:00:00,140.3,13.3,15.83,36.17
26/08/2015,00:00:00,142.5,13.3,15.8,36.2
27/08/2015,00:00:00,145.7,13.3,15.77,36.23
28/08/2015,00:00:00,147.4,13.3,15.75,36.25
29/08/2015,00:00:00,150.6,13.3,15.73,36.27
30/08/2015,00:00:00,151.8,13.3,15.72,36.28
31/08/2015,00:00:00,153.3,13.3,15.67,36.33
01/09/2015,00:00:00,154.6,13.3,15.61,36.38
02/09/2015,00:00:00,155.6,13.3,15.55,36.45
03/09/2015,00:00:00,*,*,*,*
04/09/2015,00:00:00,*,*,*,*
05/09/2015,00:00:00,*,*,*,*
06/09/2015,00:00:00,*,*,*,*
07/09/2015,00:00:00,*,*,*,*
08/09/2015,00:00:00,*,*,*,*
09/09/2015,00:00:00,*,*,*,*
10/09/2015,00:00:00,*,*,*,*
11/09/2015,00:00:00,*,*,*,*
12/09/2015,00:00:00,*,*,*,*
13/09/2015,00:00:00,*,*,*,*
14/09/2015,00:00:00,*,*,*,*
15/09/2015,00:00:00,*,*,*,*
16/09/2015,00:00:00,*,*,*,*
17/09/2015,00:00:00,*,*,*,*
18/09/2015,00:00:00,*,*,*,*
19/09/2015,00:00:00,*,*,*,*
20/09/2015,00:00:00,*,*,*,*
21/09/2015,00:00:00,*,*,*,*
22/09/2015,00:00:00,*,*,*,*
23/09/2015,00:00:00,*,*,*,*
24/09/2015,00:00:00,*,*,*,*
25/09/2015,00:00:00,*,*,*,*
26/09/2015,00:00:00,*,*,*,*
27/09/2015,00:00:00,*,*,*,*
28/09/2015,00:00:00,*,*,*,*
29/09/2015,00:00:00,*,*,*,*
30/09/2015,00:00:00,*,*,*,*
01/10/2015,00:00:00,*,*,*,*
02/10/2015,00:00:00,*,*,*,*
03/10/2015,00:00:00,*,*,*,*
04/10/2015,00:00:00,*,*,*,*
05/10/2015,00:00:00,*,*,*,*
06/10/2015,00:00:00,*,*,*,*
07/10/2015,00:00:00,*,*,*,*
08/10/2015,00:00:00,*,*,*,*
09/10/2015,00:00:00,*,*,*,*
10/10/2015,00:00:00,*,*,*,*
11/10/2015,00:00:00,*,*,*,*
12/10/2015,00:00:00,*,*,*,*
13/10/2015,00:00:00,*,*,*,*
14/10/2015,00:00:00,*,*,*,*
15/10/2015,00:00:00,*,*,*,*
16/10/2015,00:00:00,*,*,*,*
17/10/2015,00:00:00,*,*,*,*
18/10/2015,00:00:00,221.3,13.2,14.26,37.74
19/10/2015,00:00:00,223.6,13.2,14.22,37.78
20/10/2015,00:00:00,227.3,13.2,14.2,37.79
21/10/2015,00:00:00,231.9,13.2,14.17,37.83
22/10/2015,00:00:00,235.7,13.2,14.19,37.81
23/10/2015,00:00:00,241.1,13.2,14.17,37.83
24/10/2015,00:00:00,245.7,13.2,14.2,37.8
25/10/2015,00:00:00,250.1,13.2,14.33,37.67
26/10/2015,00:00:00,254.7,13.2,14.41,37.59
27/10/2015,00:00:00,257.9,13.2,14.44,37.56
28/10/2015,00:00:00,260.9,13.2,14.45,37.55
29/10/2015,00:00:00,263.8,13.2,14.46,37.54
30/10/2015,00:00:00,266.7,13.2,14.47,37.53
31/10/2015,00:00:00,269.8,13.2,14.49,37.51
01/11/2015,00:00:00,272.2,13.2,14.54,37.46
02/11/2015,00:00:00,273.7,13.2,14.6,37.4
03/11/2015,00:00:00,275.5,13.2,14.63,37.37
04/11/2015,00:00:00,278,13.2,14.61,37.39
05/11/2015,00:00:00,281.1,13.2,14.65,37.35
06/11/2015,00:00:00,285.3,13.2,14.72,37.28
07/11/2015,00:00:00,288.3,13.2,14.72,37.28
08/11/2015,00:00:00,291,13.2,14.74,37.26
09/11/2015,00:00:00,293.9,13.2,14.75,37.25
10/11/2015,00:00:00,294.5,13.2,14.76,37.24
11/11/2015,00:00:00,308.5,13.2,14.79,37.21
12/11/2015,00:00:00,318,13.2,14.76,37.24
13/11/2015,00:00:00,320.3,13.2,14.78,37.22
14/11/2015,00:00:00,322.5,13.2,14.78,37.22
15/11/2015,00:00:00,323.4,13.2,14.75,37.25
16/11/2015,00:00:00,327,13.2,14.7,37.3
17/11/2015,00:00:00,330.1,13.2,14.68,37.32
18/11/2015,00:00:00,333.5,13.2,14.69,37.31
19/11/2015,00:00:00,334.4,13.3,14.65,37.35
20/11/2015,00:00:00,334.4,13.3,14.65,37.35
21/11/2015,00:00:00,335.5,13.3,14.61,37.39
22/11/2015,00:00:00,336.4,13.3,14.51,37.49
23/11/2015,00:00:00,337.7,13.3,14.47,37.53
24/11/2015,00:00:00,338.7,13.3,14.53,37.47
25/11/2015,00:00:00,339.5,13.3,14.5,37.5
26/11/2015,00:00:00,340.3,13.3,14.42,37.58
27/11/2015,00:00:00,341.5,13.3,14.33,37.67
28/11/2015,00:00:00,342,13.3,14.33,37.67
29/11/2015,00:00:00,342.7,13.3,14.32,37.68
30/11/2015,00:00:00,343.3,13.3,14.34,37.66
01/12/2015,00:00:00,343.9,13.3,14.39,37.62
02/12/2015,00:00:00,345.8,13.3,14.54,37.47
03/12/2015,00:00:00,351.1,13.3,14.61,37.39
04/12/2015,00:00:00,358.7,13.3,14.72,37.28
05/12/2015,00:00:00,370.7,13.3,14.82,37.19
06/12/2015,00:00:00,374.7,13.3,14.84,37.16
07/12/2015,00:00:00,376.9,13.3,14.86,37.14
08/12/2015,00:00:00,378.2,13.3,14.86,37.14
09/12/2015,00:00:00,379.1,13.3,14.81,37.19
10/12/2015,00:00:00,379.6,13.3,14.82,37.18
11/12/2015,00:00:00,380.2,13.3,14.8,37.2
12/12/2015,00:00:00,380.4,13.3,14.72,37.28
