Date,Time,Conductivity,Water Temperature,Water Depth,Water Level
23/06/2015,00:00:00,*,*,*,*
24/06/2015,00:00:00,*,*,*,*
25/06/2015,00:00:00,*,*,*,*
26/06/2015,00:00:00,*,*,*,*
27/06/2015,00:00:00,*,*,*,*
28/06/2015,00:00:00,*,*,*,*
29/06/2015,00:00:00,*,*,*,*
30/06/2015,00:00:00,*,*,*,*
01/07/2015,00:00:00,*,*,*,*
02/07/2015,00:00:00,*,*,*,*
03/07/2015,00:00:00,*,*,*,*
04/07/2015,00:00:00,*,*,*,*
05/07/2015,00:00:00,*,*,*,*
06/07/2015,00:00:00,*,*,*,*
07/07/2015,00:00:00,*,*,*,*
08/07/2015,00:00:00,*,*,*,*
09/07/2015,00:00:00,*,*,*,*
10/07/2015,00:00:00,*,*,*,*
11/07/2015,00:00:00,*,*,*,*
12/07/2015,00:00:00,*,*,*,*
13/07/2015,00:00:00,*,*,*,*
14/07/2015,00:00:00,*,*,*,*
15/07/2015,00:00:00,*,*,*,*
16/07/2015,00:00:00,*,*,*,*
17/07/2015,00:00:00,*,*,*,*
18/07/2015,00:00:00,*,*,*,*
19/07/2015,00:00:00,614.8,17.8,48.91,121.58
20/07/2015,00:00:00,614.8,17.8,48.83,121.66
21/07/2015,00:00:00,614.9,17.8,48.75,121.74
22/07/2015,00:00:00,614.7,17.8,48.68,121.81
23/07/2015,00:00:00,614.3,17.8,48.61,121.88
24/07/2015,00:00:00,613.4,17.8,48.54,121.95
25/07/2015,00:00:00,612.5,17.8,48.48,122.01
26/07/2015,00:00:00,612.5,17.8,48.41,122.08
27/07/2015,00:00:00,613.5,17.8,48.34,122.15
28/07/2015,00:00:00,614.7,17.8,48.27,122.22
29/07/2015,00:00:00,614.2,17.8,48.19,122.3
30/07/2015,00:00:00,613.1,17.8,48.12,122.37
31/07/2015,00:00:00,614.5,17.8,48.05,122.44
01/08/2015,00:00:00,619.7,17.8,47.97,122.52
02/08/2015,00:00:00,619.5,17.8,47.91,122.58
03/08/2015,00:00:00,617.2,17.8,47.85,122.64
04/08/2015,00:00:00,616.5,17.8,47.78,122.71
05/08/2015,00:00:00,615.2,17.8,47.7,122.79
06/08/2015,00:00:00,615.6,17.8,47.64,122.85
07/08/2015,00:00:00,613.8,17.8,47.55,122.94
08/08/2015,00:00:00,*,*,47.48,*
09/08/2015,00:00:00,609.8,17.8,47.42,123.07
10/08/2015,00:00:00,609.5,17.8,47.35,123.14
11/08/2015,00:00:00,610,17.8,47.28,123.21
12/08/2015,00:00:00,609.1,17.8,47.22,123.27
13/08/2015,00:00:00,612.1,17.8,47.16,123.33
14/08/2015,00:00:00,631.7,17.8,47.08,123.41
15/08/2015,00:00:00,636.6,17.8,47,123.49
16/08/2015,00:00:00,633.6,17.8,46.91,123.58
17/08/2015,00:00:00,632.5,17.8,46.83,123.66
18/08/2015,00:00:00,632.1,17.8,46.76,123.73
19/08/2015,00:00:00,632.5,17.8,46.68,123.81
20/08/2015,00:00:00,633.3,17.8,46.61,123.88
21/08/2015,00:00:00,633.3,17.8,46.55,123.94
22/08/2015,00:00:00,633.5,17.8,46.47,124.02
23/08/2015,00:00:00,633.8,17.8,46.38,124.11
24/08/2015,00:00:00,634.2,17.8,46.32,124.17
25/08/2015,00:00:00,633.8,17.8,46.26,124.23
26/08/2015,00:00:00,633.5,17.8,46.19,124.3
27/08/2015,00:00:00,634.4,17.8,46.13,124.36
28/08/2015,00:00:00,634.9,17.8,46.07,124.42
29/08/2015,00:00:00,635.3,17.8,46.01,124.48
30/08/2015,00:00:00,634.4,17.8,45.95,124.54
31/08/2015,00:00:00,636.9,17.8,45.86,124.63
01/09/2015,00:00:00,645.7,17.8,45.77,124.72
02/09/2015,00:00:00,648.3,17.8,45.69,124.8
03/09/2015,00:00:00,645.8,17.8,45.61,124.88
