Date,Time,Conductivity,Water Temperature,Water Depth,Water Level
04/07/2015,00:00:00,307.3,14.7,48.04,42.46
05/07/2015,00:00:00,307.3,14.7,48.04,42.46
06/07/2015,00:00:00,306.8,14.6,48.11,42.39
07/07/2015,00:00:00,306.7,14.6,48.17,42.33
08/07/2015,00:00:00,306.8,14.6,48.24,42.26
09/07/2015,00:00:00,306.9,14.6,48.33,42.17
10/07/2015,00:00:00,306.6,14.6,48.39,42.11
11/07/2015,00:00:00,306.9,14.6,48.45,42.05
12/07/2015,00:00:00,306.8,14.6,48.47,42.03
13/07/2015,00:00:00,306.6,14.6,48.5,42
14/07/2015,00:00:00,306.4,14.6,48.54,41.96
15/07/2015,00:00:00,306.1,14.6,48.58,41.92
16/07/2015,00:00:00,305.7,14.6,48.59,41.91
17/07/2015,00:00:00,305.5,14.5,48.61,41.89
18/07/2015,00:00:00,305.4,14.5,48.63,41.87
19/07/2015,00:00:00,305.6,14.5,48.67,41.83
20/07/2015,00:00:00,305.6,14.5,48.7,41.8
21/07/2015,00:00:00,305.5,14.5,48.74,41.76
22/07/2015,00:00:00,305.2,14.5,48.75,41.75
23/07/2015,00:00:00,304.9,14.5,48.73,41.77
24/07/2015,00:00:00,304.8,14.5,48.75,41.75
25/07/2015,00:00:00,304.8,14.5,48.78,41.72
26/07/2015,00:00:00,304.8,14.5,48.78,41.72
27/07/2015,00:00:00,304.7,14.5,48.8,41.7
28/07/2015,00:00:00,304.6,14.5,48.83,41.67
29/07/2015,00:00:00,304.6,14.5,48.85,41.65
30/07/2015,00:00:00,304.6,14.5,48.87,41.63
31/07/2015,00:00:00,304.6,14.5,48.88,41.62
01/08/2015,00:00:00,304.6,14.5,48.89,41.61
02/08/2015,00:00:00,304.8,14.5,48.86,41.64
03/08/2015,00:00:00,304.9,14.5,48.85,41.65
04/08/2015,00:00:00,304.8,14.5,48.88,41.62
05/08/2015,00:00:00,304.6,14.5,48.92,41.58
06/08/2015,00:00:00,304.8,14.5,48.94,41.56
07/08/2015,00:00:00,304.8,14.5,48.95,41.55
08/08/2015,00:00:00,304.4,14.5,48.95,41.55
09/08/2015,00:00:00,304.4,14.5,48.95,41.55
10/08/2015,00:00:00,304.4,14.5,49.14,41.36
11/08/2015,00:00:00,304.6,14.5,48.97,41.53
12/08/2015,00:00:00,304.6,14.5,48.99,41.51
13/08/2015,00:00:00,305,14.5,49,41.5
14/08/2015,00:00:00,304.4,14.5,49.05,41.45
15/08/2015,00:00:00,304.3,14.5,49.05,41.45
16/08/2015,00:00:00,304.4,14.5,49.05,41.45
17/08/2015,00:00:00,304.5,14.5,49.04,41.46
18/08/2015,00:00:00,304.5,14.5,49.04,41.46
19/08/2015,00:00:00,304.5,14.5,49.06,41.44
20/08/2015,00:00:00,304.5,14.5,49.07,41.43
21/08/2015,00:00:00,304.6,14.5,49.07,41.43
22/08/2015,00:00:00,304.4,14.5,49.08,41.42
23/08/2015,00:00:00,304,14.5,49.1,41.4
24/08/2015,00:00:00,303.9,14.5,49.12,41.38
25/08/2015,00:00:00,303.9,14.5,49.13,41.37
26/08/2015,00:00:00,303.9,14.5,49.14,41.36
27/08/2015,00:00:00,304,14.5,49.16,41.34
28/08/2015,00:00:00,304,14.5,49.18,41.32
29/08/2015,00:00:00,303.7,14.5,49.18,41.32
30/08/2015,00:00:00,303.7,14.5,49.07,41.43
31/08/2015,00:00:00,303.8,14.6,49,41.5
01/09/2015,00:00:00,304,14.5,49.17,41.33
02/09/2015,00:00:00,303.9,14.5,49.24,41.26
03/09/2015,00:00:00,303.7,14.5,49.27,41.23
04/09/2015,00:00:00,303.7,14.5,49.28,41.22
05/09/2015,00:00:00,303.8,14.5,49.28,41.22
06/09/2015,00:00:00,303.8,14.5,49.28,41.22
07/09/2015,00:00:00,304,14.5,49.29,41.21
08/09/2015,00:00:00,304,14.5,49.22,41.28
09/09/2015,00:00:00,303.9,14.5,49.19,41.31
10/09/2015,00:00:00,303.9,14.5,49.28,41.22
11/09/2015,00:00:00,303.9,14.5,49.31,41.19
12/09/2015,00:00:00,303.9,14.5,49.29,41.21
13/09/2015,00:00:00,303.9,14.5,49.3,41.2
14/09/2015,00:00:00,303.9,14.5,49.3,41.2
15/09/2015,00:00:00,303.9,14.5,49.32,41.18
16/09/2015,00:00:00,304,14.5,49.34,41.16
17/09/2015,00:00:00,304,14.5,49.36,41.14
18/09/2015,00:00:00,304,14.5,49.38,41.12
19/09/2015,00:00:00,304,14.5,49.39,41.11
20/09/2015,00:00:00,303.9,14.5,49.39,41.11
21/09/2015,00:00:00,303.9,14.5,49.4,41.1
22/09/2015,00:00:00,303.9,14.5,49.42,41.08
23/09/2015,00:00:00,303.9,14.5,49.29,41.21
24/09/2015,00:00:00,303.8,14.5,49.17,41.33
25/09/2015,00:00:00,303.8,14.5,49.12,41.38
26/09/2015,00:00:00,303.7,14.5,49.15,41.35
27/09/2015,00:00:00,303.7,14.5,49.2,41.3
28/09/2015,00:00:00,303.7,14.5,49.18,41.32
29/09/2015,00:00:00,303.7,14.5,49.19,41.31
30/09/2015,00:00:00,303.7,14.5,49.22,41.28
01/10/2015,00:00:00,303.6,14.5,49.24,41.26
02/10/2015,00:00:00,303.6,14.5,49.23,41.27
03/10/2015,00:00:00,303.6,14.5,49.2,41.3
04/10/2015,00:00:00,303.6,14.5,49.2,41.3
05/10/2015,00:00:00,303.6,14.5,49.24,41.26
06/10/2015,00:00:00,304.1,14.5,49.32,41.18
07/10/2015,00:00:00,303.9,14.5,49.38,41.12
08/10/2015,00:00:00,304.2,14.5,49.41,41.09
09/10/2015,00:00:00,304.5,14.5,49.4,41.1
10/10/2015,00:00:00,304.6,14.5,49.37,41.13
11/10/2015,00:00:00,304.5,14.5,49.41,41.09
12/10/2015,00:00:00,304.8,14.5,49.51,40.99
13/10/2015,00:00:00,304.8,14.5,49.49,41.01
14/10/2015,00:00:00,304.8,14.5,49.45,41.05
15/10/2015,00:00:00,304.6,14.5,49.45,41.05
16/10/2015,00:00:00,304.4,14.5,49.46,41.04
17/10/2015,00:00:00,304,14.5,49.47,41.03
18/10/2015,00:00:00,303.6,14.5,49.47,41.03
19/10/2015,00:00:00,303.2,14.5,49.48,41.02
20/10/2015,00:00:00,302.9,14.5,49.51,40.99
21/10/2015,00:00:00,302.8,14.5,49.54,40.96
22/10/2015,00:00:00,302.8,14.5,49.52,40.98
23/10/2015,00:00:00,302.9,14.5,49.56,40.94
24/10/2015,00:00:00,302.9,14.5,49.56,40.94
25/10/2015,00:00:00,302.9,14.5,49.34,41.16
26/10/2015,00:00:00,303,14.5,48.91,41.59
27/10/2015,00:00:00,303.2,14.5,48.67,41.83
28/10/2015,00:00:00,303.4,14.5,48.36,42.14
29/10/2015,00:00:00,303.4,14.5,48.09,42.41
30/10/2015,00:00:00,303.5,14.5,47.89,42.61
31/10/2015,00:00:00,303.5,14.5,47.68,42.82
01/11/2015,00:00:00,303.5,14.5,47.59,42.91
02/11/2015,00:00:00,303.5,14.6,47.36,43.14
03/11/2015,00:00:00,303.4,14.6,47.46,43.04
04/11/2015,00:00:00,303.4,14.6,47.41,43.09
05/11/2015,00:00:00,303.4,14.7,47.47,43.03
06/11/2015,00:00:00,303.4,14.6,47.68,42.82
07/11/2015,00:00:00,303.3,14.6,47.85,42.65
08/11/2015,00:00:00,303.3,14.6,47.86,42.64
09/11/2015,00:00:00,303.2,14.6,47.98,42.52
10/11/2015,00:00:00,302.9,14.6,48.22,42.28
11/11/2015,00:00:00,302.8,14.6,48.41,42.09
12/11/2015,00:00:00,302.8,14.5,48.52,41.98
13/11/2015,00:00:00,302.8,14.5,48.59,41.91
14/11/2015,00:00:00,302.7,14.5,48.67,41.83
15/11/2015,00:00:00,302.6,14.5,48.77,41.73
16/11/2015,00:00:00,302.6,14.5,48.88,41.62
17/11/2015,00:00:00,302.5,14.5,48.96,41.54
18/11/2015,00:00:00,302.5,14.5,48.98,41.52
19/11/2015,00:00:00,302.5,14.5,48.93,41.57
20/11/2015,00:00:00,302.5,14.5,48.98,41.52
21/11/2015,00:00:00,302.4,14.5,49.04,41.46
22/11/2015,00:00:00,302.3,14.5,49.13,41.37
23/11/2015,00:00:00,302.3,14.5,49.16,41.34
24/11/2015,00:00:00,302.3,14.5,49.13,41.37
25/11/2015,00:00:00,302.3,14.5,49.12,41.38
26/11/2015,00:00:00,302.2,14.5,49.22,41.28
27/11/2015,00:00:00,302.3,14.5,49.29,41.21
28/11/2015,00:00:00,302.3,14.5,49.24,41.26
29/11/2015,00:00:00,302.2,14.5,49.07,41.43
30/11/2015,00:00:00,302.1,14.5,48.84,41.66
01/12/2015,00:00:00,302,14.5,48.68,41.82
02/12/2015,00:00:00,302,14.5,48.54,41.96
03/12/2015,00:00:00,302,14.5,48.46,42.04
04/12/2015,00:00:00,302,14.5,48.41,42.09
05/12/2015,00:00:00,302,14.5,48.42,42.08
06/12/2015,00:00:00,302,14.5,48.49,42.01
07/12/2015,00:00:00,302,14.5,48.57,41.93
08/12/2015,00:00:00,302,14.5,48.69,41.81
09/12/2015,00:00:00,301.9,14.5,48.79,41.71
10/12/2015,00:00:00,302,14.5,48.88,41.62
11/12/2015,00:00:00,302,14.5,48.98,41.52
12/12/2015,00:00:00,302,14.5,49.05,41.45
13/12/2015,00:00:00,302,14.5,49.06,41.44
14/12/2015,00:00:00,302,14.5,48.94,41.56
