Date,Time,Conductivity,Water Temperature,Water Depth,Water Level
26/06/2015,00:00:00,*,*,*,*
27/06/2015,00:00:00,*,*,*,*
28/06/2015,00:00:00,*,*,*,*
29/06/2015,00:00:00,*,*,*,*
30/06/2015,00:00:00,*,*,*,*
01/07/2015,00:00:00,*,*,*,*
02/07/2015,00:00:00,*,*,*,*
03/07/2015,00:00:00,*,*,*,*
04/07/2015,00:00:00,*,*,*,*
05/07/2015,00:00:00,*,*,*,*
06/07/2015,00:00:00,*,*,*,*
07/07/2015,00:00:00,*,*,*,*
08/07/2015,00:00:00,*,*,*,*
09/07/2015,00:00:00,*,*,*,*
10/07/2015,00:00:00,1188.3,17.5,9.3,42.7
11/07/2015,00:00:00,1170.2,17.5,9.48,42.52
12/07/2015,00:00:00,1156.7,17.5,11.42,40.58
13/07/2015,00:00:00,1204.6,17.5,10.25,41.75
14/07/2015,00:00:00,1179.3,17.5,10.97,41.03
15/07/2015,00:00:00,1166.4,17.5,10.87,41.13
16/07/2015,00:00:00,1191.3,17.5,11.58,40.42
17/07/2015,00:00:00,1180.4,17.5,11.11,40.89
18/07/2015,00:00:00,1116,17.7,*,39.92
19/07/2015,00:00:00,1162.2,17.6,*,39.06
20/07/2015,00:00:00,1171,17.6,*,39.6
21/07/2015,00:00:00,1172.7,17.6,*,29.85
22/07/2015,00:00:00,1184.2,17.6,*,*
23/07/2015,00:00:00,1053.7,17.7,*,*
24/07/2015,00:00:00,1148.3,17.7,*,*
25/07/2015,00:00:00,1187.4,17.6,*,*
26/07/2015,00:00:00,1156.7,17.7,*,51.81
27/07/2015,00:00:00,1225.7,17.6,*,53.33
28/07/2015,00:00:00,1196.9,17.6,*,53.83
29/07/2015,00:00:00,1055.2,15.8,*,46.79
30/07/2015,00:00:00,0,0,*,0
31/07/2015,00:00:00,0,0,*,0
01/08/2015,00:00:00,0,0,*,0
02/08/2015,00:00:00,0,0,*,0
03/08/2015,00:00:00,0,0,*,0
04/08/2015,00:00:00,0,0,*,0
05/08/2015,00:00:00,0,0,*,0
06/08/2015,00:00:00,0,0,*,0
07/08/2015,00:00:00,*,*,*,*
08/08/2015,00:00:00,*,*,*,*
09/08/2015,00:00:00,0,0,52,0
10/08/2015,00:00:00,0,0,52,0
11/08/2015,00:00:00,0,0,52,0
12/08/2015,00:00:00,0,0,52,0
13/08/2015,00:00:00,0,0,52,0
14/08/2015,00:00:00,0,0,52,0
15/08/2015,00:00:00,0,0,52,0
16/08/2015,00:00:00,0,0,52,0
17/08/2015,00:00:00,0,0,52,0
18/08/2015,00:00:00,0,0,52,0
19/08/2015,00:00:00,0,0,52,0
20/08/2015,00:00:00,0,0,52,0
21/08/2015,00:00:00,0,0,52,0
22/08/2015,00:00:00,0,0,52,0
23/08/2015,00:00:00,0,0,52,0
24/08/2015,00:00:00,0,0,52,0
25/08/2015,00:00:00,0,0,52,0
26/08/2015,00:00:00,*,*,*,*
27/08/2015,00:00:00,*,*,*,*
28/08/2015,00:00:00,*,*,*,*
29/08/2015,00:00:00,*,*,*,*
30/08/2015,00:00:00,*,*,*,*
31/08/2015,00:00:00,*,*,*,*
01/09/2015,00:00:00,*,*,*,*
02/09/2015,00:00:00,*,*,*,*
