Date,Time,Conductivity,Water Temperature,Water Depth,Water Level
09/07/2015,00:00:00,530.7,14.9,51.4,6.35
10/07/2015,00:00:00,530.7,14.9,51.4,6.35
11/07/2015,00:00:00,539.7,14.9,51.38,6.37
12/07/2015,00:00:00,539.7,14.9,51.33,6.42
13/07/2015,00:00:00,546.4,14.9,51.29,6.46
14/07/2015,00:00:00,546.7,14.9,51.27,6.48
15/07/2015,00:00:00,546.9,14.9,51.24,6.51
16/07/2015,00:00:00,542.1,14.9,51.2,6.55
17/07/2015,00:00:00,545.3,15,51.17,6.58
18/07/2015,00:00:00,549.5,15,51.15,6.6
19/07/2015,00:00:00,546.2,14.9,51.08,6.67
20/07/2015,00:00:00,542.5,14.9,51,6.75
21/07/2015,00:00:00,537.3,14.9,50.93,6.82
22/07/2015,00:00:00,539.8,14.9,50.88,6.87
23/07/2015,00:00:00,542.1,14.9,50.82,6.93
24/07/2015,00:00:00,542,14.9,50.77,6.98
25/07/2015,00:00:00,540.7,14.9,50.73,7.02
26/07/2015,00:00:00,546.4,14.9,50.69,7.06
27/07/2015,00:00:00,541.2,14.9,50.64,7.11
28/07/2015,00:00:00,543.8,14.9,50.59,7.16
29/07/2015,00:00:00,546,14.8,50.53,7.22
30/07/2015,00:00:00,548.8,14.5,50.44,7.31
31/07/2015,00:00:00,545.1,14.5,50.37,7.37
01/08/2015,00:00:00,549.5,14.4,50.29,7.46
02/08/2015,00:00:00,542.4,14.5,50.25,7.5
03/08/2015,00:00:00,546.8,14.4,50.21,7.54
04/08/2015,00:00:00,543,14.4,50.15,7.6
05/08/2015,00:00:00,550.8,14.3,50.06,7.69
06/08/2015,00:00:00,540.9,14.4,50.01,7.73
07/08/2015,00:00:00,551.9,14.3,49.93,7.82
08/08/2015,00:00:00,548.2,14.4,49.89,7.86
09/08/2015,00:00:00,524.6,14.5,49.89,7.86
10/08/2015,00:00:00,536.1,14.5,49.84,7.91
11/08/2015,00:00:00,528.2,14.6,49.81,7.94
12/08/2015,00:00:00,542.7,14.5,49.76,7.99
13/08/2015,00:00:00,532.8,14.5,49.73,8.02
14/08/2015,00:00:00,534.7,14.5,49.67,8.08
15/08/2015,00:00:00,532.3,14.5,49.62,8.13
16/08/2015,00:00:00,522.8,14.6,49.59,8.16
17/08/2015,00:00:00,533.2,14.5,49.55,8.2
18/08/2015,00:00:00,534.6,14.4,49.52,8.23
19/08/2015,00:00:00,553,14.2,49.45,8.3
20/08/2015,00:00:00,553.1,14.2,49.39,8.36
21/08/2015,00:00:00,552.9,14.2,49.35,8.4
22/08/2015,00:00:00,552.3,14.2,49.28,8.47
23/08/2015,00:00:00,551.6,14.1,49.2,8.55
24/08/2015,00:00:00,550.9,14.2,49.15,8.6
25/08/2015,00:00:00,543.3,14.2,49.12,8.63
26/08/2015,00:00:00,542.2,14.2,49.09,8.66
27/08/2015,00:00:00,550,14.2,49.03,8.71
28/08/2015,00:00:00,550.6,14.1,48.98,8.77
29/08/2015,00:00:00,550.4,14.1,48.94,8.8
30/08/2015,00:00:00,549.7,14.1,48.91,8.84
31/08/2015,00:00:00,550.3,14.1,48.85,8.9
01/09/2015,00:00:00,550.2,14.1,48.78,8.97
02/09/2015,00:00:00,548.8,14.1,48.72,9.02
03/09/2015,00:00:00,548.6,14.1,48.67,9.08
04/09/2015,00:00:00,548.8,14.1,48.62,9.13
05/09/2015,00:00:00,544.1,14.1,48.6,9.15
06/09/2015,00:00:00,549.9,14.1,48.57,9.18
07/09/2015,00:00:00,549.2,14,48.5,9.25
08/09/2015,00:00:00,543.4,14.1,48.47,9.28
09/09/2015,00:00:00,527,14.3,48.51,9.24
10/09/2015,00:00:00,527.3,14.4,48.55,9.2
11/09/2015,00:00:00,529.4,14.5,48.57,9.18
12/09/2015,00:00:00,544.2,14.1,48.5,9.25
13/09/2015,00:00:00,549,14.1,48.44,9.31
14/09/2015,00:00:00,553.6,14,48.35,9.4
15/09/2015,00:00:00,554.8,14,48.27,9.47
16/09/2015,00:00:00,555.7,14,48.21,9.54
