Date,Time,Temperature (Avg),Wind Direction (Avg),Wind Speed (Avg),Relative Humidity (Avg),Barometric Pressure (Avg),Precipitation (Sum),Rain Duration (Sum),Daily ETO,Pyranometer 0 - 2000 W/M2 (Avg)
07/02/2015,00:00:00,12,202.5,2.1,53.2,966.2,0.0,0.0,0.0,161.1
08/02/2015,00:00:00,12,202.5,2.1,53.2,966.2,0.0,0.0,2.66,161.1
09/02/2015,00:00:00,11.2,219.9,2.2,62,961.2,0.0,0.0,2.02,136.5
10/02/2015,00:00:00,9.2,204.3,3,77,954,0.0,0.5,1.58,145.3
11/02/2015,00:00:00,6.1,236.7,4.7,79.5,945.9,60.8,720.1,0.95,73.3
12/02/2015,00:00:00,4,234.5,4.1,76.3,956.9,20.4,810.0,1.03,75.3
13/02/2015,00:00:00,5.1,245.9,3.1,78.4,965.3,16.4,779.5,1.11,106.8
14/02/2015,00:00:00,7.2,239.2,3.3,79.6,967.6,5.6,389.8,1.45,155.4
15/02/2015,00:00:00,8.3,231.9,2,74.7,966.5,0.6,61.0,1.8,171.9
16/02/2015,00:00:00,9,274.1,2.6,67.5,966.8,0.0,0.0,2.18,176.6
17/02/2015,00:00:00,9.2,207.5,2.1,68.4,969,0.0,0.2,2.25,188
18/02/2015,00:00:00,7.8,192.7,2.3,70.7,970.5,2.6,240.0,1.14,66.3
19/02/2015,00:00:00,3.1,212.2,3.2,66.1,972.2,2.0,180.1,1.1,51.5
20/02/2015,00:00:00,2.9,187.4,3.1,70.6,970.5,13.8,299.8,1.16,91.7
21/02/2015,00:00:00,7.3,231.5,4.4,61.7,967.3,0.0,0.0,1.83,80.7
22/02/2015,00:00:00,9.9,239.9,3,71.3,967.3,0.0,0.1,2.45,205.6
23/02/2015,00:00:00,10.7,169.1,2.2,89.5,968.2,1.6,150.3,0.36,22.4
24/02/2015,00:00:00,11.7,160.3,4.5,98.2,963.8,24.4,570.7,0.07,9.5
25/02/2015,00:00:00,10.5,188.4,2.2,84.2,958.8,4.2,209.9,1.17,109
26/02/2015,00:00:00,11.4,220.2,2.7,80.4,963.9,0.0,0.0,1.8,172.4
27/02/2015,00:00:00,12.3,139.3,1.6,87.3,969.8,0.0,0.0,1.3,110
28/02/2015,00:00:00,11.8,185.8,3.3,88.9,962.2,1.0,60.0,1.09,86.8
01/03/2015,00:00:00,12,182.9,3.3,76.6,965.7,0.4,30.0,2.17,186.6
02/03/2015,00:00:00,11.2,152.6,1.6,77.6,969.2,0.4,60.0,1.7,151.1
03/03/2015,00:00:00,12.3,202.8,1.2,68,970.4,0.0,0.0,2.67,212.2
