Date,Time,Temperature (Avg),Wind Direction (Avg),Wind Speed (Avg),Relative Humidity (Avg),Barometric Pressure (Avg),Precipitation (Sum),Rain Duration (Sum),Daily ETO,Pyranometer 0 - 2000 W/M2 (Avg)
29/07/2015,00:00:00,28.5,154.2,1,55.7,999.6,0,0,0.0,336.5
30/07/2015,00:00:00,28.5,154.2,1,55.7,999.6,0,0,6.27,336.5
31/07/2015,00:00:00,28.4,162.7,0.9,57.1,999.7,0,0,6.19,340
01/08/2015,00:00:00,27.7,167.8,0.9,62.4,999.4,0,0,5.98,335.9
02/08/2015,00:00:00,30.6,170.9,1.7,48.6,1001.3,0,0,7.0,325.5
03/08/2015,00:00:00,28.8,199.4,2.2,52,1003.8,0,0,6.68,324.2
04/08/2015,00:00:00,28.5,185.3,1.8,55.6,1003.7,0,0,6.6,325.1
05/08/2015,00:00:00,28,140.9,1.1,59.1,1002.4,0,0,6.0,319.3
06/08/2015,00:00:00,27.5,156.1,1,57.7,1001.2,0,0,5.89,329.5
07/08/2015,00:00:00,28.1,141,1.1,60.9,1000.1,0,0,6.0,331
08/08/2015,00:00:00,27.7,138.3,1.2,65.1,1001.3,0,0,5.58,306.3
09/08/2015,00:00:00,27.9,133,1.3,62.2,1004.1,0,0,5.96,314.7
10/08/2015,00:00:00,28.1,186,1.8,61.7,1005.1,0,0,6.13,318.7
11/08/2015,00:00:00,27.4,149.9,1.3,62,1004.4,0,0,5.87,324.9
12/08/2015,00:00:00,26.9,151.3,1.1,65.8,1004.6,0,0,5.56,322.1
13/08/2015,00:00:00,27,152.4,1,69.4,1005.5,0,0,5.59,324.5
14/08/2015,00:00:00,27.8,170.1,0.9,61.8,1002.9,0,0,5.6,316.8
15/08/2015,00:00:00,28.2,100.3,1.1,55.4,1001.7,0,0.1,3.78,171.1
16/08/2015,00:00:00,26.4,141.3,1.1,76.9,1001.5,6.8,179.9,4.61,277.7
17/08/2015,00:00:00,27.2,139.7,1.2,72,1002.2,0,0,5.53,315.5
18/08/2015,00:00:00,27.5,162.4,1.1,65.1,1002.8,0,0,5.63,318.1
19/08/2015,00:00:00,26.8,142.7,1.3,62.4,1002.5,0,0,5.81,327.1
20/08/2015,00:00:00,27,151,1.4,61.7,1003.2,0,0,6.01,325.8
21/08/2015,00:00:00,27.1,143.9,0.8,57.4,1005.6,0,0,5.6,320.1
22/08/2015,00:00:00,28,160.3,1.3,57.3,1004.1,0,0,5.93,316.7
23/08/2015,00:00:00,27.2,181.6,2.4,55.2,1002.6,0,0,6.45,317.1
