Date,Time,Temperature (Avg),Wind Direction (Avg),Wind Speed (Avg),Relative Humidity (Avg),Barometric Pressure (Avg),Precipitation (Sum),Rain Duration (Sum),Daily ETO,Pyranometer 0 - 2000 W/M2 (Avg)
19/04/2016,00:00:00,21.4,168.9,0.7,27.1,980.5,0,0,0.0,312.2
20/04/2016,00:00:00,21.4,168.9,0.7,27.1,980.5,0,0,5.23,312.1
21/04/2016,00:00:00,22,154.8,0.7,28.1,977.6,0,0,3.84,207.3
22/04/2016,00:00:00,17.2,165.9,1.3,60,983.5,0,0,4.21,291.3
23/04/2016,00:00:00,15.4,206.6,0.9,66.3,982.3,0,0,4.3,307.1
24/04/2016,00:00:00,17.7,191.5,0.8,56.6,975.5,0,0,4.13,255.6
25/04/2016,00:00:00,18.4,159.7,0.8,59.5,970.4,0,0,4.46,297.4
26/04/2016,00:00:00,18.8,181.9,1.1,53,970.2,0,0,3.29,197.7
27/04/2016,00:00:00,15.7,219.1,1.4,59.6,972.8,0,0,3.27,219.7
28/04/2016,00:00:00,14.7,209.7,1,66,979.7,0,0,3.95,275.4
29/04/2016,00:00:00,18.1,197.9,0.8,37.9,980.8,0,0,4.91,311.5
30/04/2016,00:00:00,21.2,135.2,0.7,40.7,978.1,1,45,4.68,259.2
01/05/2016,00:00:00,21.5,193.6,1.4,53.9,974.6,0,0,3.64,205.5
02/05/2016,00:00:00,16.9,209,0.8,66.4,978,0,0.1,4.16,278.3
03/05/2016,00:00:00,18.4,178,1.2,62,975.4,1.2,90,2.47,137.7
04/05/2016,00:00:00,17.4,209.4,2,60.1,973.6,1,60,4.01,248.3
05/05/2016,00:00:00,16,248,1.7,67.8,973.3,1,30,3.41,218.6
06/05/2016,00:00:00,14,206.7,1,77.7,974.9,5,74.9,2.02,145.5
07/05/2016,00:00:00,14.7,186.3,1.1,71.5,978.3,0,0,2.36,166.4
08/05/2016,00:00:00,15.2,187,0.9,73.5,979.1,0,0,3.62,259.7
09/05/2016,00:00:00,16.8,159.2,0.6,67.6,978.8,0.4,15,3.43,210.2
10/05/2016,00:00:00,16.4,129.7,0.8,78.5,980.4,0,0,3.64,261.8
11/05/2016,00:00:00,17.5,202.7,1.1,51.3,980.7,0,0,5.03,331.8
12/05/2016,00:00:00,20.9,188.8,0.8,42.3,978.9,0.4,15.1,5.01,299
13/05/2016,00:00:00,27.1,173.4,1.3,41.2,974.6,1.6,90.9,5.09,233.9
14/05/2016,00:00:00,28.2,201.6,1.7,35.3,972.8,0.2,15,5.56,217.1
15/05/2016,00:00:00,22.6,147.8,0.6,51.2,975.4,0.2,15.1,2.15,109.5
16/05/2016,00:00:00,20.5,154.2,1,65.9,978.1,4.8,134.9,1.75,76.1
17/05/2016,00:00:00,18.5,203.4,1,53.3,980,0,0,4.73,315.7
18/05/2016,00:00:00,18,206.3,1.1,54.8,978.4,0,0,4.9,326.2
19/05/2016,00:00:00,18,197,1,60.6,979.2,0,0,5.09,348.8
20/05/2016,00:00:00,17.9,145.6,0.9,64,980.9,0,0,4.84,316.3
21/05/2016,00:00:00,20.7,187,0.8,50.9,979.1,0,0,4.1,229
