Date,Time,Temperature (Avg),Wind Direction (Avg),Wind Speed (Avg),Relative Humidity (Avg),Barometric Pressure (Avg),Precipitation (Sum),Rain Duration (Sum),Daily ETO,Pyranometer 0 - 2000 W/M2 (Avg)
27/01/2015,00:00:00,9.4,195.6,1.3,78.1,979.9,0,0.1,0.0,125.5
28/01/2015,00:00:00,9.4,195.6,1.3,78.1,979.9,2.4,180,1.49,125.5
29/01/2015,00:00:00,9.2,201.2,1.5,79.8,977.4,3.8,240.1,1.62,141.4
30/01/2015,00:00:00,9.8,212.1,2,79.2,973.4,8.4,329.8,0.94,55.9
31/01/2015,00:00:00,9.2,205.3,2.1,82,975.4,2.4,89.9,1.37,85.3
01/02/2015,00:00:00,14,199.9,3,69.2,973.9,0,0,2.11,112
02/02/2015,00:00:00,15.7,205.4,3.5,65.9,974,0,0,2.51,111.3
03/02/2015,00:00:00,13.4,235.6,2.7,64.6,974.1,0.4,60.2,2.09,115.4
04/02/2015,00:00:00,9.9,220.3,1.9,76.5,980,5.8,299.8,1.4,115.2
05/02/2015,00:00:00,11.4,192,1.5,70.3,984.3,0,0,1.95,146.7
06/02/2015,00:00:00,13.2,162.9,1.8,72,982.1,0,0,1.47,94.5
07/02/2015,00:00:00,14.2,172.9,2.6,74.8,977.1,0,0,1.86,119.5
08/02/2015,00:00:00,10.6,195.6,1.1,66.2,981.7,0,0.1,1.99,149.9
09/02/2015,00:00:00,9.5,223.9,2.4,75.7,976.5,1.8,120.4,1.8,121.4
10/02/2015,00:00:00,8.6,235.2,1.6,80.6,968.6,11,630.2,1.07,88.3
11/02/2015,00:00:00,4.9,241.7,2.5,87.4,964.2,24.8,930,0.62,58.5
12/02/2015,00:00:00,2.6,250.7,2.9,84.6,976.1,22.4,961,0.55,42.7
13/02/2015,00:00:00,3.5,250.1,1.8,90.7,983.2,26,959.5,0.54,62
14/02/2015,00:00:00,6.3,206.9,1.9,86.2,984.7,2.4,270.9,0.67,57.5
15/02/2015,00:00:00,7.4,140.6,1.3,82.4,982.6,1.8,119.9,1.26,118.8
16/02/2015,00:00:00,8.4,174.5,1.3,72.4,982.7,0,0,1.71,153.9
17/02/2015,00:00:00,8.7,135.1,1.1,67.1,984.7,0,0,1.85,151.3
18/02/2015,00:00:00,7.5,156,1.9,73.5,987,0,0,1.25,93.8
19/02/2015,00:00:00,3.4,153.2,3.5,67.7,990.5,0,0,1.21,84.8
20/02/2015,00:00:00,3.4,238.6,3.6,65.3,988.5,0.4,61,1.3,65.7
21/02/2015,00:00:00,7.9,192.7,2.7,58.2,985.9,0,0,1.91,120.2
22/02/2015,00:00:00,9.7,165.2,1.4,69.1,984.1,0,0.2,1.81,139.1
23/02/2015,00:00:00,10.8,180.8,1.8,82.3,982.2,10.2,360.5,0.72,39.5
24/02/2015,00:00:00,12,205.7,2.8,89.4,977.4,56.8,1020.4,0.45,31
25/02/2015,00:00:00,10.9,233.4,1.6,80.3,973.2,2.4,150.9,1.15,82
26/02/2015,00:00:00,11.6,223.1,1.2,77.4,978.7,0.8,60,1.48,109.9
27/02/2015,00:00:00,12.8,168.8,1.4,76.3,983.5,0,0.1,2.24,167.2
28/02/2015,00:00:00,12.7,188.8,2.6,73.2,976.4,9,120,1.85,118.7
01/03/2015,00:00:00,12.3,249.1,2.9,72.5,980.8,4.8,119.9,2.41,174.2
02/03/2015,00:00:00,11.1,211.4,1.3,77.7,984.3,0,0,2.01,163.3
03/03/2015,00:00:00,10.9,174,0.9,72.9,985.3,0,0,2.77,210.3
04/03/2015,00:00:00,12.4,228.1,2,81.5,985.8,0,0,1.95,150.2
05/03/2015,00:00:00,12.6,188.1,0.8,79.7,989.2,0,0,1.57,113.2
06/03/2015,00:00:00,11.2,220.2,1.3,85,986.9,0,0,1.75,138.7
07/03/2015,00:00:00,14.2,164.2,1.8,77.1,984.3,0,0.1,1.76,126.2
08/03/2015,00:00:00,13.2,166.9,1.5,81.6,980.8,12.4,179.9,1.7,133.4
09/03/2015,00:00:00,11.3,175.6,1,76.4,982.7,0.2,30,2.2,167.9
10/03/2015,00:00:00,10.6,192.5,1.1,81,985.2,0,0,2.39,189
11/03/2015,00:00:00,10.3,158.7,1,78,986.9,0,0,1.84,142.2
12/03/2015,00:00:00,9.9,178.5,1.2,79.9,983.7,3,60,2.09,175.3
13/03/2015,00:00:00,10.3,220.9,1.7,74.4,979.7,0.2,30.3,2.67,218.3
14/03/2015,00:00:00,10.4,210.4,2.4,82.1,979.6,24.6,479.7,1.0,64.2
15/03/2015,00:00:00,10.6,143.3,1.3,73.2,983.7,0.2,30,2.26,176.3
16/03/2015,00:00:00,10,179.9,1.5,73.9,991.1,0,0,1.56,105.6
17/03/2015,00:00:00,10.6,161.8,1.7,74.6,991.8,0,0,1.16,77.2
18/03/2015,00:00:00,10.7,121.4,2.1,72,988.6,0,0,1.84,136.1
19/03/2015,00:00:00,9.7,147.6,1.5,66,986.2,0,0,1.99,152.3
20/03/2015,00:00:00,8.8,147.7,1.5,64.8,985.7,0,0,2.49,216.5
21/03/2015,00:00:00,9.4,153.9,1.3,69.4,983.3,0,0,2.3,178.3
22/03/2015,00:00:00,8.6,158.8,2,62.1,987.3,0,0,2.36,195.1
