Date,Time,Temperature (Avg),Wind Direction (Avg),Wind Speed (Avg),Relative Humidity (Avg),Barometric Pressure (Avg),Precipitation (Sum),Rain Duration (Sum),Daily ETO,Pyranometer 0 - 2000 W/M2 (Avg)
23/07/2015,00:00:00,25.1,74.5,3.4,59.2,964.2,0.0,0.0,0.0,350.1
24/07/2015,00:00:00,25.1,74.5,3.4,59.2,964.2,0.0,0.0,6.92,350.1
25/07/2015,00:00:00,26.0,129.3,2.1,47.9,965.1,0.0,0.0,6.9,348.4
26/07/2015,00:00:00,26.9,204.3,1.2,50.3,966.0,0.0,0.0,6.37,346.4
27/07/2015,00:00:00,25.4,155.9,1.3,70.6,964.9,0.0,0.0,5.98,336.1
28/07/2015,00:00:00,26.7,95.6,2.2,52.6,963.2,0.0,0.0,6.99,351.7
29/07/2015,00:00:00,28.7,134.5,1.9,44.4,962.8,0.0,0.0,7.25,343.2
30/07/2015,00:00:00,28.7,183.8,1.8,44.8,963.4,0.0,0.0,7.18,347.9
31/07/2015,00:00:00,29.4,126,1.7,36.5,963.4,0.0,0.0,7.36,345.0
01/08/2015,00:00:00,30.3,98.5,2.1,38.5,963.1,0.0,0.0,7.69,342.0
02/08/2015,00:00:00,26.9,50.1,3,60.0,966.0,0.0,0.0,6.74,330.7
03/08/2015,00:00:00,24.7,41.8,3.9,72.7,968.6,0.0,0.0,5.32,289.2
04/08/2015,00:00:00,24.9,48.1,3.7,70.4,968.0,0.0,0.0,5.68,305.8
05/08/2015,00:00:00,25.6,70.6,3.3,67.1,966.4,0.0,0.0,6.19,321.4
06/08/2015,00:00:00,26.1,98,2.3,58.6,964.9,0.0,0.0,6.38,332.2
07/08/2015,00:00:00,25.3,72.8,2.4,72.1,964.1,0.0,0.0,5.42,311.0
08/08/2015,00:00:00,25.3,96.2,2.2,70.1,965.0,0.0,0.0,5.04,267.6
09/08/2015,00:00:00,24.3,75.6,2.2,78.3,967.8,0.4,30.0,3.89,220.6
10/08/2015,00:00:00,24.6,68.9,2.2,72.6,968.7,0.0,0.0,5.69,311.5
11/08/2015,00:00:00,25.0,48.3,2.7,64.6,968.0,0.0,0.0,5.36,305.9
12/08/2015,00:00:00,26.3,109.4,2.2,55.5,968.0,0.0,0.0,6.37,327.3
13/08/2015,00:00:00,26.1,121.3,2,61.3,968.8,0.0,0.0,6.2,332.3
14/08/2015,00:00:00,27.6,208.5,1.2,55.4,966.3,0.0,0.0,5.98,309.4
15/08/2015,00:00:00,26.2,201.9,1.8,59.1,965.3,0.0,0.1,3.87,201.0
16/08/2015,00:00:00,24.2,222.3,1,81.5,965.0,6.2,149.9,3.41,199.0
17/08/2015,00:00:00,25.8,136.4,2.4,65.4,965.8,0.0,0.0,6.03,321.7
18/08/2015,00:00:00,27.5,157.1,2,44.4,966.5,0.0,0.0,6.96,317.6
19/08/2015,00:00:00,27.0,51.4,2.2,47.2,966.2,0.0,0.0,6.8,334.6
20/08/2015,00:00:00,25.0,67.9,2.5,62.0,966.8,0.0,0.0,6.09,331.7
21/08/2015,00:00:00,27.2,96.4,2.3,47.8,969.0,0.0,0.0,6.83,326.5
22/08/2015,00:00:00,26.3,42.2,2.9,59.5,968.0,0.0,0.0,6.19,313.7
23/08/2015,00:00:00,24.6,77.8,3,74.0,966.9,0.0,0.0,5.29,285.1
24/08/2015,00:00:00,23.8,42.2,3.1,72.2,966.9,0.0,0.0,4.26,253.6
25/08/2015,00:00:00,22.8,86.9,4,69.3,967.9,0.0,0.0,4.78,271.2
26/08/2015,00:00:00,22.8,56.1,4.2,67.1,968.3,0.0,0.0,5.04,269.3
27/08/2015,00:00:00,23.0,59.1,3.6,67.1,968.1,0.0,0.0,5.54,298.3
28/08/2015,00:00:00,23.0,35.5,3.1,69.4,969.1,0.0,0.0,5.42,315.5
29/08/2015,00:00:00,23.3,37,3.3,71.0,971.0,0.0,0.0,5.46,314.0
30/08/2015,00:00:00,23.0,40.6,3.5,67.4,971.6,0.0,0.0,5.74,320.8
