Date,Time,Temperature (Avg),Wind Direction (Avg),Wind Speed (Avg),Relative Humidity (Avg),Barometric Pressure (Avg),Precipitation (Sum),Rain Duration (Sum),Daily ETO,Pyranometer 0 - 2000 W/M2 (Avg)
04/02/2015,00:00:00,12.2,223.9,1.1,70.4,990.1,0.0,60.0,0.0,130.5
05/02/2015,00:00:00,12.2,223.8,1.1,70.4,990.1,0.6,60.0,1.71,130.5
06/02/2015,00:00:00,13.4,161.2,2.2,71.5,988,0.2,30.0,1.75,118.9
07/02/2015,00:00:00,14.5,158.7,2.7,73.4,982.8,0.0,0.0,2.16,128.9
08/02/2015,00:00:00,10.9,219.9,1.4,65.7,987.4,0.0,0.0,1.99,149.9
09/02/2015,00:00:00,10.8,231.3,1.5,73.5,982.3,0.2,30.5,1.64,130.2
10/02/2015,00:00:00,8.4,229.2,1.2,88.1,974.3,12.4,690.9,1.15,112.8
11/02/2015,00:00:00,5.7,178.4,2,83.5,969.9,15.0,541.0,1.15,107.8
12/02/2015,00:00:00,3.4,189.9,1.7,82.3,981.9,6.2,570.7,0.81,71.4
13/02/2015,00:00:00,4.4,178.2,2,84.7,988.8,1.2,149.9,0.94,103.1
14/02/2015,00:00:00,7.3,114.9,3.1,77.2,989.9,0.0,0.0,1.41,108.6
15/02/2015,00:00:00,8.5,132.2,2.6,73.6,988,0.0,0.0,1.97,162.5
16/02/2015,00:00:00,9.3,119.3,2.6,66.2,988.2,0.0,0.0,1.85,128.1
17/02/2015,00:00:00,9.9,129.6,2.5,59.6,990.3,0.0,0.0,2.37,153.5
18/02/2015,00:00:00,8.7,121.6,3.2,65.3,992.4,0.0,0.0,2.31,159.2
19/02/2015,00:00:00,4.6,75,3.9,62.4,995.7,0.0,0.0,2.14,182.1
20/02/2015,00:00:00,4.1,208.9,2.9,63.2,994.6,0.0,0.0,1.71,124.8
21/02/2015,00:00:00,8.6,134.5,3.1,54.4,991.2,0.0,0.0,2.45,163.7
22/02/2015,00:00:00,10.7,121.6,3.4,64.6,989.3,0.0,0.2,2.72,183.6
23/02/2015,00:00:00,11.1,171.1,1.1,82.4,988,4.8,300.5,0.59,39.8
24/02/2015,00:00:00,12.1,190.7,4.6,91.4,983.1,44.2,1020.3,0.58,38.9
25/02/2015,00:00:00,11.2,217.6,1.1,81.5,978.9,0.4,60.0,1.29,101.4
26/02/2015,00:00:00,11.8,241.4,1.1,82.1,984.3,1.4,89.9,1.73,140
27/02/2015,00:00:00,13.2,150.4,2.4,76.9,989.2,0.0,0.1,2.02,150.4
