Date,Time,Temperature (Avg),Wind Direction (Avg),Wind Speed (Avg),Relative Humidity (Avg),Barometric Pressure (Avg),Precipitation (Sum),Rain Duration (Sum),Daily ETO,Pyranometer 0 - 2000 W/M2 (Avg)
23/07/2015,00:00:00,28.3,152.7,0.7,41.3,946.4,0,0,0.0,346.1
24/07/2015,00:00:00,28.3,152.7,0.7,41.3,946.4,0,0,6.36,346.1
25/07/2015,00:00:00,27.2,179.2,0.7,43.3,947.6,0,0,6.2,342.3
26/07/2015,00:00:00,26.5,170.4,0.7,49.9,948.8,0,0,6.1,340.3
27/07/2015,00:00:00,26.1,173,0.8,54.5,947.6,0,0,5.95,335.3
28/07/2015,00:00:00,27.9,133.3,1.1,38.2,945.8,0,0,6.7,341.3
29/07/2015,00:00:00,29.8,125.9,1.1,30,945.7,0,0,6.72,337
30/07/2015,00:00:00,29.5,125.3,0.9,32.4,946.2,0,0,6.51,337.9
31/07/2015,00:00:00,30.4,137.1,0.9,28.6,946.2,0,0,6.54,339.6
01/08/2015,00:00:00,31,169.8,1.2,31.7,945.8,0,0,6.93,339.4
02/08/2015,00:00:00,29.8,211.8,1.9,38.7,947.9,0,0,7.0,327.2
03/08/2015,00:00:00,28.7,84.3,2.4,43.2,949.7,0,0,7.27,325.1
04/08/2015,00:00:00,29.2,145.8,1.6,43.4,949.4,0,0,6.89,323.3
05/08/2015,00:00:00,29.6,161,1.5,42.3,948.2,0,0,6.8,321.7
06/08/2015,00:00:00,27.8,181.6,0.6,46.4,947.3,0,0,5.83,330.4
07/08/2015,00:00:00,26.8,162.8,0.7,56,946.4,0,0,4.77,261.7
08/08/2015,00:00:00,26.2,136.1,0.8,59.9,947.3,0,0,4.59,272.8
09/08/2015,00:00:00,25.4,157.8,0.9,64,950,1,30,4.52,237.5
10/08/2015,00:00:00,25.2,172.6,1,67,950.9,0.8,30,5.23,294.3
11/08/2015,00:00:00,25.5,207,1.3,55.1,950.1,0,0,5.47,317.4
