Perunit,Municipal,Coast,StationCode,Description,SampleDate,SampleTime,DeliveryDate,AnalyseDate,Intenterococci,Ecoli,Tar,Glass,Plastic,Caoutchouc,Garbage,Wave,Airdirection,Rainfail,Yestrainfail
Κρήτη,Αγίου_Νικολάου,Κιτροπλατεία,GRBW139310017101,30 μ. από το νοτιοδυτικό άκρο της ακτής,16/8/2016,8:16 πμ,16/8/2016,17/8/2016,4,18,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Αμμούδι,GRBW139310014101,30 μ. από το νότιο άκρο της ακτής,16/8/2016,8:26 πμ,16/8/2016,17/8/2016,2,6,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Άμμος (Μαρίνα),GRBW139310008101,Μέσον ακτής,16/8/2016,8:36 πμ,16/8/2016,17/8/2016,5,12,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Άμμος (Αγίου Νικολάου),GRBW139310012101,30 μ. από το βορειοανατολικό άκρο της ακτής,16/8/2016,8:45 πμ,16/8/2016,17/8/2016,3,8,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Γαργαδωρός,GRBW139310031101,20 μ. από το βορειοανατολικό άκρο της ακτής,16/8/2016,8:54 πμ,16/8/2016,17/8/2016,12,24,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Αλμυρός,GRBW139310021101,Μέσον ακτής,16/8/2016,9:07 πμ,16/8/2016,17/8/2016,2,5,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Αμμουδάρα,GRBW139310015101,Μέσον ακτής,16/8/2016,9:15 πμ,16/8/2016,17/8/2016,16,30,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Καραβοστάσι (Αγίου Νικολάου),GRBW139310034101,70 μ. από το βορειοδυτικό άκρο της ακτής. Έναντι πρόσβασης,16/8/2016,9:26 πμ,16/8/2016,17/8/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Άγιος Παντελεήμων,GRBW139310037101,215 μ. από το ανατολικό άκρο της ακτής,16/8/2016,9:47 πμ,16/8/2016,17/8/2016,8,32,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Βούλισμα,GRBW139310018101,Μέσον ακτής,16/8/2016,10:00 πμ,16/8/2016,17/8/2016,2,6,ΟΧΙ,ΟΧΙ,ΝΑΙ,ΟΧΙ,ΝΑΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Καλό Χωριό,GRBW139310030101,100 μ. από το ανατολικό άκρο της ακτής,16/8/2016,10:14 πμ,16/8/2016,17/8/2016,<1,4,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Σητείας,Μόχλος - Ξεροστέρνια,GRBW139313101101,Μέσον ακτής,16/8/2016,10:54 πμ,16/8/2016,17/8/2016,4,12,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Σητείας,Παπαδιόκαμπος,GRBW139313094101,40 μ. από το βορειοδυτικό άκρο της ακτής,16/8/2016,11:52 πμ,16/8/2016,17/8/2016,2,8,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΝΑΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Σητείας,Σήτεια,GRBW139313102101,Βορειοδυτικό άκρο ακτής,16/8/2016,12:20 μμ,16/8/2016,17/8/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Σητείας,Ανάλουκας,GRBW139313095101,70 μ. από το δυτικό άκρο της ακτής,16/8/2016,12:41 μμ,16/8/2016,17/8/2016,22,56,ΝΑΙ,ΟΧΙ,ΝΑΙ,ΝΑΙ,ΝΑΙ,ΠΟΛΥ ΚΥΜΑΤΩΔΗΣ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Σητείας,Βάι – Φοινικόδασος,GRBW139313100101,Νότιο άκρο ακτής,16/8/2016,1:26 μμ,16/8/2016,17/8/2016,18,42,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Σητείας,Κουρεμένος,GRBW139313099101,430 μ. από το βόρειο άκρο της ακτής,16/8/2016,1:40 μμ,16/8/2016,17/8/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Σητείας,Χιώνα,GRBW139313097101,Μέσον ακτής,16/8/2016,1:49 μμ,16/8/2016,17/8/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Σητείας,Κάτω Ζάκρος,GRBW139313098101,Μέσον ακτής,16/8/2016,2:29 μμ,16/8/2016,17/8/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Σητείας,Βούρλια,GRBW139313093101,70 μ. από το βόρειο άκρο της ακτής,16/8/2016,2:53 μμ,16/8/2016,17/8/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Βλήτες,GRBW139325120101,Μέσον ακτής,16/8/2016,9:37 πμ,16/8/2016,17/8/2016,5,27,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Λουτράκι (Ακρωτήρι),GRBW139325125101,Μέσον ακτής,16/8/2016,10:01 πμ,16/8/2016,17/8/2016,6,18,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Μαράθι,GRBW139325115101,60 μ. από το ανατολικό άκρο της ακτής,16/8/2016,10:11 πμ,16/8/2016,17/8/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Άγιος Ονούφριος,GRBW139325111101,30 μ. από το νότιο άκρο της ακτής,16/8/2016,10:47 πμ,16/8/2016,17/8/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Καλαθάς,GRBW139325113101,Μέσον ακτής,16/8/2016,11:02 πμ,16/8/2016,17/8/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Σταυρός (Χανίων),GRBW139325114101,200 μ. από το βόρειο άκρο της ακτής,16/8/2016,11:19 πμ,16/8/2016,17/8/2016,2,5,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Κουμ Καπί,GRBW139325117101,100 μ. από το ανατολικό άκρο της ακτής,16/8/2016,11:29 πμ,16/8/2016,17/8/2016,4,12,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Νέα Χώρα,GRBW139325112101,200 μ. από το βορειοανατολικό άκρο της ακτής,16/8/2016,11:49 πμ,16/8/2016,17/8/2016,2,8,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Χρυσή Ακτή,GRBW139325108101,Μέσον ακτής,16/8/2016,12:06 μμ,16/8/2016,17/8/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Άγιοι Απόστολοι – ΕΟΤ Ανατολικά,GRBW139325118101,Μέσον ακτής,16/8/2016,12:12 μμ,16/8/2016,17/8/2016,2,4,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Άγιοι Απόστολοι – ΕΟΤ Δυτικά,GRBW139325109101,Μέσον ακτής,16/8/2016,12:18 μμ,16/8/2016,17/8/2016,2,6,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Καλαμάκι,GRBW139325116101,70 μ. από το βορειοδυτικό άκρο της ακτής,16/8/2016,12:28 μμ,16/8/2016,17/8/2016,2,8,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Αγία Μαρίνα – Στάλος,GRBW139325110101,320 μ. από το δυτικό άκρο της ακτής,16/8/2016,1:20 μμ,16/8/2016,17/8/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Αγία Μαρίνα 2,GRBW139325122101,90 μ. από το δυτικό άκρο της ακτής,16/8/2016,1:55 μμ,16/8/2016,17/8/2016,<1,4,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,Β,ΌΧΙ,ΌΧΙ
Κρήτη,Χανίων,Αγία Μαρίνα 1,GRBW139325123101,140 μ. από το νοτιοδυτικό άκρο της ακτής,16/8/2016,2:22 μμ,16/8/2016,17/8/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,Β,ΌΧΙ,ΌΧΙ
