Perunit,Municipal,Coast,StationCode,Description,SampleDate,SampleTime,DeliveryDate,AnalyseDate,Intenterococci,Ecoli,Tar,Glass,Plastic,Caoutchouc,Garbage,Wave,Airdirection,Rainfail,Yestrainfail
Κρήτη,Αγίου_Νικολάου,Κιτροπλατεία,GRBW139310017101,30 μ. από το νοτιοδυτικό άκρο της ακτής,18/7/2016,8:11 πμ,18/7/2016,19/7/2016,7,30,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Αμμούδι,GRBW139310014101,30 μ. από το νότιο άκρο της ακτής,18/7/2016,8:19 πμ,18/7/2016,19/7/2016,2,12,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Άμμος (Μαρίνα),GRBW139310008101,Μέσον ακτής,18/7/2016,8:30 πμ,18/7/2016,19/7/2016,6,26,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Άμμος (Αγίου Νικολάου),GRBW139310012101,30 μ. από το βορειοανατολικό άκρο της ακτής,18/7/2016,8:39 πμ,18/7/2016,19/7/2016,4,18,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Γαργαδωρός,GRBW139310031101,20 μ. από το βορειοανατολικό άκρο της ακτής,18/7/2016,8:47 πμ,18/7/2016,19/7/2016,8,36,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Αλμυρός,GRBW139310021101,Μέσον ακτής,18/7/2016,8:59 πμ,18/7/2016,19/7/2016,2,8,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Αμμουδάρα,GRBW139310015101,Μέσον ακτής,18/7/2016,9:07 πμ,18/7/2016,19/7/2016,12,58,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Καραβοστάσι (Αγίου Νικολάου),GRBW139310034101,70 μ. από το βορειοδυτικό άκρο της ακτής. Έναντι πρόσβασης,18/7/2016,9:20 πμ,18/7/2016,19/7/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Άγιος Παντελεήμων,GRBW139310037101,215 μ. από το ανατολικό άκρο της ακτής,18/7/2016,9:37 πμ,18/7/2016,19/7/2016,10,53,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Βούλισμα,GRBW139310018101,Μέσον ακτής,18/7/2016,9:51 πμ,18/7/2016,19/7/2016,<1,4,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Καλό Χωριό,GRBW139310030101,100 μ. από το ανατολικό άκρο της ακτής,18/7/2016,10:05 πμ,18/7/2016,19/7/2016,2,10,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Σητείας,Μόχλος - Ξεροστέρνια,GRBW139313101101,Μέσον ακτής,18/7/2016,10:47 πμ,18/7/2016,19/7/2016,8,24,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΕΛΑΦΡΑ ΚΥΜΑΤΩΔΗΣ,ΒΔ,ΌΧΙ,ΌΧΙ
