Perunit,Municipal,Coast,StationCode,Description,SampleDate,SampleTime,DeliveryDate,AnalyseDate,Intenterococci,Ecoli,Tar,Glass,Plastic,Caoutchouc,Garbage,Wave,Airdirection,Rainfail,Yestrainfail
Κρήτη,Αγίου_Νικολάου,Κιτροπλατεία,GRBW139310017101,30 μ. από το νοτιοδυτικό άκρο της ακτής,3/10/2016,8:21 πμ,3/10/2016,4/10/2016,7,46,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Αμμούδι,GRBW139310014101,30 μ. από το νότιο άκρο της ακτής,3/10/2016,8:30 πμ,3/10/2016,4/10/2016,4,12,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Άμμος (Μαρίνα),GRBW139310008101,Μέσον ακτής,3/10/2016,8:39 πμ,3/10/2016,4/10/2016,33,54,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Άμμος (Αγίου Νικολάου),GRBW139310012101,30 μ. από το βορειοανατολικό άκρο της ακτής,3/10/2016,8:47 πμ,3/10/2016,4/10/2016,15,34,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Γαργαδωρός,GRBW139310031101,20 μ. από το βορειοανατολικό άκρο της ακτής,3/10/2016,8:53 πμ,3/10/2016,4/10/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Αλμυρός,GRBW139310021101,Μέσον ακτής,3/10/2016,9:07 πμ,3/10/2016,4/10/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Αμμουδάρα,GRBW139310015101,Μέσον ακτής,3/10/2016,9:16 πμ,3/10/2016,4/10/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Καραβοστάσι (Αγίου Νικολάου),GRBW139310034101,70 μ. από το βορειοδυτικό άκρο της ακτής. Έναντι πρόσβασης,3/10/2016,9:28 πμ,3/10/2016,4/10/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Άγιος Παντελεήμων,GRBW139310037101,215 μ. από το ανατολικό άκρο της ακτής,3/10/2016,9:44 πμ,3/10/2016,4/10/2016,22,76,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Βούλισμα,GRBW139310018101,Μέσον ακτής,3/10/2016,9:56 πμ,3/10/2016,4/10/2016,<1,<1,ΟΧΙ,ΟΧΙ,ΝΑΙ,ΟΧΙ,ΝΑΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
Κρήτη,Αγίου_Νικολάου,Καλό Χωριό,GRBW139310030101,100 μ. από το ανατολικό άκρο της ακτής,3/10/2016,10:09 πμ,3/10/2016,4/10/2016,10,22,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΗΡΕΜΗ,ΒΔ,ΌΧΙ,ΌΧΙ
