Perunit,Municipal,Coast,StationCode,Description,SampleDate,SampleTime,DeliveryDate,AnalyseDate,Intenterococci,Ecoli,Tar,Glass,Plastic,Caoutchouc,Garbage,Wave,Airdirection,Rainfail,Yestrainfail
ΧΑΝΙΩΝ,Χανίων,Ακτή Μαράθι 2,GRBW139325171101,Μέσον ακτής,15/6/2019,8:55,15/6/2019,16/6/2019,2,5,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,Β,ΌΧΙ,ΌΧΙ
ΡΕΘΥΜΝΟΥ,Αγίου_Βασιλείου,Πολύριζος,GRBW139314176101,Μέσον ακτής,15/6/2019,11:15,15/6/2019,16/6/2019,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,Β,ΌΧΙ,ΌΧΙ
ΡΕΘΥΜΝΟΥ,Αγίου_Βασιλείου,Σχοινάρια,GRBW139314177101,Μέσον ακτής,15/6/2019,11:49,15/6/2019,16/6/2019,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,Β,ΌΧΙ,ΌΧΙ
ΗΡΑΚΛΕΙΟΥ,Φαιστού,Κόκκινος Πύργος 2,GRBW139308172101,470 μέτρα από το νότιο τέλος της ακτής,15/6/2019,13:15,15/6/2019,16/6/2019,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,Β,ΌΧΙ,ΌΧΙ
ΗΡΑΚΛΕΙΟΥ,Φαιστού,Πλατιά Περάματα,GRBW139308173101,230μέτρα από το ανατολικό μέρος της ακτής,15/6/2019,15:12,15/6/2019,16/6/2019,1,3,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,Β,ΌΧΙ,ΌΧΙ
ΗΡΑΚΛΕΙΟΥ,Βιάννου,Τέρτσα,GRBW139303174101,Στην έξοδο της επαρχιακής οδού – νότια του οικισμού,15/6/2019,9:13,15/6/2019,16/6/2019,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,Β,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Σητείας,Ερημούπολη,GRBW139313175101,Νότιο όριο παραλίας,15/6/2019,13:05,15/6/2019,16/6/2019,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,Β,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Πλατανιά,Μάλεμε_Πλατανιά,GRBW139323085101, 350 μ. από το δυτικό άκρο της ακτής,24/6/2019,8:44,24/6/2019,25/6/2019,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,ΝΔ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Πλατανιά,Κολυμπάρια_–_Ραπανιανά_Πλατανιά,GRBW139323084101, 130 μ. από το δυτικό άκρο της ακτής,24/6/2019,8:56,24/6/2019,25/6/2019,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,ΝΔ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Κουρφαλώνας_Δραπανιάς_Μήθυμνα_Νοπήγεια_Κισσάμου,GRBW139322073101, 1700 μ. από το ανατολικό άκρο της ακτής,24/6/2019,9:10,24/6/2019,25/6/2019,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,ΝΔ,ΌΧΙ,ΌΧΙ
