Perunit,Municipal,Coast,StationCode,Description,SampleDate,SampleTime,DeliveryDate,AnalyseDate,Intenterococci,Ecoli,Tar,Glass,Plastic,Caoutchouc,Garbage,Wave,Airdirection,Rainfail,Yestrainfail
ΧΑΝΙΩΝ,Πλατανιά,Μάλεμε_Πλατανιά,GRBW139323085101, 350 μ. από το δυτικό άκρο της ακτής,13/9/2021,08:53:00,00:00:00,14/9/2021,0,0,OXI,OXI,OXI,OXI,OXI,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Πλατανιά,Κολυμπάρια_–_Ραπανιανά_Πλατανιά,GRBW139323084101, 130 μ. από το δυτικό άκρο της ακτής,13/9/2021,09:09:00,00:00:00,14/9/2021,0,0,OXI,OXI,OXI,OXI,OXI,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Κουρφαλώνας_Δραπανιάς_Μήθυμνα_Νοπήγεια_Κισσάμου,GRBW139322073101, 1700 μ. από το ανατολικό άκρο της ακτής,13/9/2021,09:29:00,00:00:00,14/9/2021,0,0,OXI,OXI,OXI,OXI,OXI,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Καστέλλι_Κισσάμου_Ανατολικά_Κισσάμου,GRBW139322066101, 200 μ. από το δυτικό άκρο της ακτής,13/9/2021,09:48:00,00:00:00,14/9/2021,2,0,OXI,OXI,OXI,OXI,OXI,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Καστέλλι_Κισσάμου_Δυτικά_Κισσάμου,GRBW139322067101, Μέσον ακτής,13/9/2021,09:58:00,00:00:00,14/9/2021,0,0,OXI,OXI,OXI,OXI,OXI,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Γραμβούσα_Παχειά_Άμμος_Κισσάμου,GRBW139322069101, 100 μ. από το δυτικό άκρο της ακτής,13/9/2021,10:07:00,00:00:00,14/9/2021,2,0,OXI,OXI,OXI,OXI,OXI,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Γραμβούσα_Βιγλιά_Κισσάμου,GRBW139322070101, 330 μ. από το ανατολικό άκρο της ακτής,13/9/2021,10:15:00,00:00:00,14/9/2021,2,0,OXI,OXI,OXI,OXI,OXI,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Φαλάσαρνα_Κισσάμου,GRBW139322068101, 230 μ. από το βόρειο άκρο της ακτής,13/9/2021,10:34:00,00:00:00,14/9/2021,0,0,OXI,OXI,OXI,OXI,OXI,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Σφηνάρι_Κισσάμου,GRBW139322071101, 180 μ. από το νοτιοδυτικό άκρο της ακτής,13/9/2021,11:05:00,00:00:00,14/9/2021,0,0,OXI,OXI,OXI,OXI,OXI,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Καντάνου_Σέλινου,Βουλισμένη_Καντάνου_Σέλινου,GRBW139321064101, Μέσον ακτής,13/9/2021,12:15:00,00:00:00,14/9/2021,2,4,OXI,OXI,OXI,OXI,OXI,Ήρεμη,ΒΔ,ΌΧΙ,ΌΧΙ
