Perunit,Municipal,Coast,StationCode,Description,SampleDate,SampleTime,DeliveryDate,AnalyseDate,Intenterococci,Ecoli,Tar,Glass,Plastic,Caoutchouc,Garbage,Wave,Airdirection,Rainfail,Yestrainfail
ΧΑΝΙΩΝ,Κισσάμου,Κουρφαλώνας_Δραπανιάς_Μήθυμνα_Νοπήγεια_Κισσάμου,ELBW139322073101, 1700 μ. από το ανατολικό άκρο της ακτής,11/9/2023,7:51:00 πμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,ΒΑ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Καστέλλι_Κισσάμου_Ανατολικά_Κισσάμου,ELBW139322066101, 200 μ. από το δυτικό άκρο της ακτής,11/9/2023,8:02:00 πμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,ΒΑ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Καστέλλι_Κισσάμου_Δυτικά_Κισσάμου,ELBW139322067101, Μέσον ακτής,11/9/2023,8:10:00 πμ,11/9/2023,12/9/2023,10,18,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,ΒΑ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Γραμβούσα_Παχειά_Άμμος_Κισσάμου,ELBW139322069101, 100 μ. από το δυτικό άκρο της ακτής,11/9/2023,8:17:00 πμ,11/9/2023,12/9/2023,2,4,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,ΒΑ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Γραμβούσα_Βιγλιά_Κισσάμου,ELBW139322070101, 330 μ. από το ανατολικό άκρο της ακτής,11/9/2023,8:21:00 πμ,11/9/2023,12/9/2023,3,6,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,ΒΑ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Φαλάσαρνα_Κισσάμου,ELBW139322068101, 230 μ. από το βόρειο άκρο της ακτής,11/9/2023,8:45:00 πμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,ΒΑ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Σφηνάρι_Κισσάμου,ELBW139322071101, 180 μ. από το νοτιοδυτικό άκρο της ακτής,11/9/2023,9:08:00 πμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,ΒΑ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Καντάνου_Σέλινου,Βουλισμένη_Καντάνου_Σέλινου,ELBW139321064101, Μέσον ακτής,11/9/2023,10:07:00 πμ,11/9/2023,12/9/2023,4,6,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΑ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Κισσάμου,Ελαφονήσι_Κισσάμου,ELBW139322072101, Νοτιοανατολικό άκρο ακτής,11/9/2023,10:09:00 πμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,ΒΑ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Καντάνου_Σέλινου,Χαλίκια_Καντάνου_Σέλινου,ELBW139321063101, 450 μ. από το νοτιοδυτικό άκρο της ακτής,11/9/2023,11:15:00 πμ,11/9/2023,12/9/2023,2,5,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΑ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Καντάνου_Σέλινου,Παχειά_Άμμος_Καντάνου_Σέλινου,ELBW139321062101, 430 μ. από το νότιο άκρο της ακτής,11/9/2023,11:23:00 πμ,11/9/2023,12/9/2023,4,6,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΑ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Καντάνου_Σέλινου,Γραμμένο_Καντάνου_Σέλινου,ELBW139321065101, 200 μ. από το νοτιοδυτικό άκρο της ακτής,11/9/2023,11:33:00 πμ,11/9/2023,12/9/2023,2,6,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΑ,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Καντάνου_Σέλινου,Σούγια_Καντάνου_Σέλινου,ELBW139321061101, 470 μ. από το δυτικό άκρο της ακτής,11/9/2023,1:32:00 μμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΑ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Σητείας,Μεγάλη_Παραλία_Ξερόκαμπου_Σητείας,ELBW139313158101, Μέσον ακτής,11/9/2023,8:00:00 πμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Σητείας,Βούρλια_Σητείας,ELBW139313093101, 70 μ. από το βόρειο άκρο της ακτής,11/9/2023,8:10:00 πμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Σητείας,Κάτω_Ζάκρος_Σητείας,ELBW139313098101, Μέσον ακτής,11/9/2023,8:35:00 πμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Σητείας,Χιώνα_Σητείας,ELBW139313097101, Μέσον ακτής,11/9/2023,9:20:00 πμ,11/9/2023,12/9/2023,0,2,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Σητείας,Κουρεμένος_Σητείας,ELBW139313099101, 430 μ. από το βόρειο άκρο της ακτής,11/9/2023,9:30:00 πμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Σητείας,Ερημούπολη,ELBW139313175101,Νότιο όριο παραλίας,11/9/2023,9:46:00 πμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Σητείας,Βάι_–_Φοινικόδασος_Σητείας,ELBW139313100101, Νότιο άκρο ακτής,11/9/2023,9:57:00 πμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Σητείας,Ανάλουκας_Σητείας,ELBW139313095101, 70 μ. από το δυτικό άκρο της ακτής,11/9/2023,10:23:00 πμ,11/9/2023,12/9/2023,4,6,ΟΧΙ,ΝΑΙ,ΝΑΙ,ΝΑΙ,ΝΑΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Σητείας,Σητεία_Σητείας,ELBW139313102101, Βορειοδυτικό άκρο ακτής,11/9/2023,10:39:00 πμ,11/9/2023,12/9/2023,12,26,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Σητείας,Παπαδιόκαμπος_Σητείας,ELBW139313094101, 40 μ. από το βορειοδυτικό άκρο της ακτής,11/9/2023,11:29:00 πμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Σητείας,Μόχλος_Ξεροστέρνια_Σητείας,ELBW139313101101, Μέσον ακτής,11/9/2023,12:29:00 μμ,11/9/2023,12/9/2023,2,4,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Ιεράπετρας,Θόλος_Ιεράπετρας,ELBW139311160101, 90 μ. από το δυτικό άκρο της ακτής,11/9/2023,1:00:00 μμ,11/9/2023,12/9/2023,4,6,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Αγίου_Νικολάου,Καλό_Χωριό_Αγίου_Νικολάου,ELBW139310030101, 100 μ. από το ανατολικό άκρο της ακτής,11/9/2023,1:25:00 μμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Αγίου_Νικολάου,Βούλισμα_Αγίου_Νικολάου,ELBW139310018101, Μέσον ακτής,11/9/2023,1:35:00 μμ,11/9/2023,12/9/2023,2,4,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Αγίου_Νικολάου,Άγιος_Παντελεήμων_Αγίου_Νικολάου,ELBW139310037101, 215 μ. από το ανατολικό άκρο της ακτής,11/9/2023,1:45:00 μμ,11/9/2023,12/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Αγίου_Νικολάου,Καραβοστάσι_Αγίου_Νικολάου,ELBW139310034101, 70 μ. από το βορειοδυτικό άκρο της ακτής. Έναντι πρόσβασης,11/9/2023,2:00:00 μμ,11/9/2023,12/9/2023,3,5,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Αγίου_Νικολάου,Αμμουδάρα_Αγίου_Νικολάου,ELBW139310015101, Μέσον ακτής,11/9/2023,2:12:00 μμ,11/9/2023,12/9/2023,6,14,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,Β,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Αγίου_Νικολάου,Αλμυρός_Αγίου_Νικολάου,ELBW139310021101, Μέσον ακτής,11/9/2023,2:18:00 μμ,11/9/2023,12/9/2023,2,4,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,Β,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Αγίου_Νικολάου,Γαργαδωρός_Αγίου_Νικολάου,ELBW139310031101, 20 μ. από το βορειοανατολικό άκρο της ακτής,11/9/2023,2:30:00 μμ,11/9/2023,12/9/2023,4,6,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,Β,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Αγίου_Νικολάου,Άμμος_Αγίου_Νικολάου,ELBW139310012101, 30 μ. από το βορειοανατολικό άκρο της ακτής,11/9/2023,2:35:00 μμ,11/9/2023,12/9/2023,2,4,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,Β,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Αγίου_Νικολάου,Άμμος_(Μαρίνα)_Αγίου_Νικολάου,ELBW139310008101, Μέσον ακτής,11/9/2023,2:47:00 μμ,11/9/2023,12/9/2023,4,10,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,ΒΔ,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Αγίου_Νικολάου,Αμμούδι_Αγίου_Νικολάου,ELBW139310014101, 30 μ. από το νότιο άκρο της ακτής,11/9/2023,3:05:00 μμ,11/9/2023,12/9/2023,4,8,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,Β,ΌΧΙ,ΌΧΙ
ΛΑΣΙΘΙΟΥ,Αγίου_Νικολάου,Κιτροπλατεία_Αγίου_Νικολάου,ELBW139310017101, 30 μ. από το νοτιοδυτικό άκρο της ακτής,11/9/2023,2:54:00 μμ,11/9/2023,12/9/2023,2,6,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ήρεμη,Β,ΌΧΙ,ΌΧΙ
ΡΕΘΥΜΝΟΥ,Ρεθύμνης,Επισκοπή_1_Ρεθύμνης,ELBW139318089101, Μέσον ακτής,12/9/2023,7:40:00 πμ,12/9/2023,13/9/2023,8,22,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,Β,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Αποκορώνου,Καβρός_Αποκορώνου,ELBW139319041101, 1670 μ. από το ανατολικό άκρο της ακτής.,12/9/2023,7:53:00 πμ,12/9/2023,13/9/2023,4,6,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,Β,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Αποκορώνου,Γεωργιούπολη_Αποκορώνου,ELBW139319039101, Μέσον ακτής,12/9/2023,9:26:00 πμ,12/9/2023,13/9/2023,8,20,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,Β,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Αποκορώνου,Αλμυρίδα_Αποκορώνου,ELBW139319038101, Μέσον ακτής,12/9/2023,9:57:00 πμ,12/9/2023,13/9/2023,2,4,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,Β,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Αποκορώνου,Καλύβες_Αποκορώνου,ELBW139319040101, 200 μ. από το ανατολικό άκρο της ακτής,12/9/2023,10:08:00 πμ,12/9/2023,13/9/2023,12,28,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,Β,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Αποκορώνου,Κυανή_Ακτή_Αποκορώνου,ELBW139319037101, 600 μ. από το βορειοδυτικό άκρο της ακτής,12/9/2023,10:26:00 πμ,12/9/2023,13/9/2023,10,18,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Πολύ κυματώδης,Β,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Σφακίων,Ομπρός_Γιαλός_Σφακίων,ELBW139324103101, Μέσον ακτής,12/9/2023,11:32:00 πμ,12/9/2023,13/9/2023,0,0,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,Β,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Σφακίων,Ίλιγγας_Σφακίων,ELBW139324104101, Μέσον ακτής,12/9/2023,11:47:00 πμ,12/9/2023,13/9/2023,2,6,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,Β,ΌΧΙ,ΌΧΙ
ΧΑΝΙΩΝ,Σφακίων,Φραγκοκάστελλο_Χανίων,ELBW139324170101, Μέσον ακτής,12/9/2023,12:14:00 μμ,12/9/2023,13/9/2023,2,4,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,Β,ΌΧΙ,ΌΧΙ
ΡΕΘΥΜΝΟΥ,Αγίου_Βασιλείου,Πολύριζος,ELBW139314176101,Μέσον ακτής,12/9/2023,12:30:00 μμ,12/9/2023,13/9/2023,4,8,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,ΟΧΙ,Ελαφρά Κυματώδης,Β,ΌΧΙ,ΌΧΙ
